UserCountry3,[Omission -> Commission]: Estimates,[Passengers -> Pedestrians]: Estimates,Law [Illegal -> Legal]: Estimates,Gender [Male -> Female]: Estimates,Fitness [Large -> Fit]: Estimates,Social Status [Low -> High]: Estimates,Age [Elderly -> Young]: Estimates,No. Characters [Less -> More]: Estimates,Species [Pets -> Humans]: Estimates,[Omission -> Commission]: se,[Passengers -> Pedestrians]: se,Law [Illegal -> Legal]: se,Gender [Male -> Female]: se,Fitness [Large -> Fit]: se,Social Status [Low -> High]: se,Age [Elderly -> Young]: se,No. Characters [Less -> More]: se,Species [Pets -> Humans]: se
AFG,0.076590486,0.004590559,0.300033835,-0.007555304,0.190209099,0.336341875,0.390148842,0.466343107,0.575618029,0.030863405,0.067429082,0.055719264,0.079866258,0.083326297,0.108407446,0.077348132,0.097473616,0.092009147
AGO,0.035094704,-0.072330607,0.361607879,0.035080195,0.119326118,0.483078633,0.461626543,0.462462539,0.593738122,0.02876064,0.07061023,0.058976639,0.074016956,0.073624314,0.093549446,0.061123054,0.061661015,0.07122498
ALB,0.047205701,0.054627562,0.345108361,0.112579673,0.188009344,0.283644467,0.482305013,0.514452805,0.603087455,0.014706188,0.025941613,0.027742714,0.032190955,0.032768288,0.048322217,0.032980103,0.028441662,0.030502572
AND,0.061886676,0.23075435,0.411267401,0.167290254,0.105060576,0.257421324,0.483550939,0.516630566,0.556225454,0.025191498,0.048591421,0.053363801,0.064477142,0.07812365,0.096929227,0.068019772,0.062985675,0.091942074
ARE,0.037075505,0.122502853,0.357703654,0.117194536,0.118927539,0.321925957,0.44720424,0.522103732,0.576738615,0.005299486,0.01024763,0.010400346,0.012843878,0.012939887,0.018576837,0.012422584,0.010781011,0.012089917
ARG,0.034001572,0.139844691,0.344230187,0.140659801,0.160907748,0.370718609,0.50280058,0.499997226,0.390491341,0.002404501,0.004310092,0.004860684,0.005585737,0.005866326,0.008064441,0.005199785,0.004966452,0.006971352
ARM,0.040675613,0.075711877,0.357947109,0.105073669,0.09807303,0.238981507,0.469951352,0.481638383,0.621889831,0.015096964,0.028769978,0.028259104,0.036915013,0.036885065,0.053206137,0.03216237,0.031144569,0.030547467
AUS,0.075184524,0.123159909,0.330606998,0.110603367,0.191460181,0.345313103,0.50152598,0.526965749,0.591866888,0.00131647,0.00248041,0.002466845,0.002791139,0.002905516,0.004108634,0.002772133,0.002593671,0.003212572
AUT,0.071672538,0.099228297,0.371251614,0.08961913,0.136782363,0.305829708,0.496949692,0.514023637,0.66121114,0.002214718,0.004206455,0.004195178,0.004942517,0.005069593,0.007250748,0.004594191,0.004407615,0.004753708
AZE,0.03418692,0.202071433,0.255895823,0.098419033,0.177014455,0.321270146,0.488097009,0.454144394,0.302111549,0.007890199,0.013994374,0.01688689,0.019465291,0.020045996,0.026553369,0.017536016,0.016870149,0.022169834
BEL,0.058056292,0.173979823,0.376078637,0.138491502,0.140006292,0.337415745,0.49463563,0.51065249,0.669087396,0.001410106,0.00261089,0.002709384,0.003194453,0.00330837,0.004767695,0.003025704,0.002892227,0.002828714
BGD,0.014816223,0.011405654,0.351396948,0.076273,0.172393812,0.362516045,0.416281677,0.499592007,0.569989607,0.01294747,0.026108222,0.02648784,0.030704602,0.031454818,0.04464609,0.02870807,0.02726262,0.027638814
BGR,0.040052892,0.098152415,0.344263717,0.093338387,0.192661253,0.375257336,0.531244363,0.509020969,0.620110694,0.004150236,0.008067268,0.008630631,0.010318357,0.010200542,0.014434273,0.009178364,0.009167692,0.009731996
BHR,0.024815828,0.157967607,0.427192817,0.089499308,0.116674018,0.410013826,0.428513212,0.400706378,0.615261052,0.022313345,0.038697833,0.038848628,0.046533428,0.051628048,0.067668157,0.045864565,0.044028643,0.042502139
BHS,0.013811253,0.005484296,0.277794863,0.156608973,0.130041507,0.373752065,0.549354819,0.535960962,0.602964781,0.025565881,0.059970755,0.048059754,0.063502234,0.063792847,0.099640884,0.056133539,0.046579522,0.06025451
BIH,0.040649064,0.131608311,0.361721257,0.094057226,0.148677345,0.301363128,0.550665401,0.526555289,0.595552484,0.008090941,0.016077264,0.01568298,0.020436805,0.019746227,0.027607715,0.017739876,0.017078416,0.019372911
BLR,0.068876511,0.026185594,0.34772841,0.027269234,0.165153159,0.327858089,0.492360978,0.466647169,0.621669615,0.004874369,0.009155892,0.009458493,0.010998164,0.011299442,0.01575016,0.010297102,0.009955594,0.010241006
BOL,0.028283423,0.132084116,0.316798541,0.144348702,0.215960536,0.39668043,0.505045428,0.50708562,0.2851155,0.01326344,0.023923671,0.028827521,0.034161419,0.035956409,0.046949076,0.032347614,0.028950253,0.041330458
BRA,0.030195531,-0.019372603,0.366954133,0.146003101,0.088107013,0.326867721,0.471815331,0.474318205,0.332123747,0.000822651,0.002115549,0.001744232,0.002015738,0.002084424,0.002952027,0.001951296,0.001776149,0.003654288
BRB,0.079015584,0.086872938,0.277655388,0.161325527,0.183997608,0.404668493,0.449655433,0.485292955,0.641316978,0.032373804,0.051797282,0.06109512,0.063630213,0.071987905,0.095115701,0.063524228,0.056685855,0.055886648
BRN,0.039973285,0.079354823,0.472847769,-0.007235431,0.204117631,0.31134191,0.382671392,0.39862828,0.492784816,0.021434715,0.040365666,0.043791745,0.056222881,0.063635983,0.088924853,0.054383352,0.049162294,0.051551553
CAN,0.067428866,0.10223876,0.335172447,0.113371309,0.190256145,0.36163429,0.50660609,0.533800222,0.620113516,0.001759233,0.002052939,0.002674782,0.002418591,0.002435636,0.003356485,0.002908917,0.002160921,0.002791286
CHE,0.080096734,0.146630279,0.373057305,0.106518825,0.132405213,0.295086367,0.470869702,0.500104477,0.670013699,0.002272702,0.004090237,0.004333419,0.004874775,0.005223542,0.007313022,0.004805103,0.004597984,0.004696793
CHL,0.038586108,0.134771173,0.377314195,0.154295444,0.165059419,0.347926175,0.472588868,0.489847307,0.457030981,0.003211517,0.006128306,0.006362248,0.00726481,0.007869592,0.010952003,0.007254122,0.006746978,0.009293823
CHN,0.085178684,-0.026445066,0.396378484,0.103895206,0.131550503,0.334636609,0.353739928,0.422984741,0.6593241,0.004436312,0.008610553,0.008605024,0.009532089,0.009964288,0.013790054,0.009584414,0.008671581,0.00805309
COL,0.030381221,0.120284568,0.338270321,0.15630791,0.198671636,0.454943459,0.525856997,0.516067656,0.333569968,0.003121479,0.005569234,0.006481178,0.007495719,0.007908713,0.010445746,0.00708125,0.00680836,0.008807837
CRI,0.043352799,0.108776348,0.34370712,0.121366524,0.207376079,0.387330537,0.493087826,0.493717364,0.473398224,0.006305533,0.012105709,0.012974545,0.015491062,0.015771435,0.021951996,0.014939463,0.013484567,0.01757501
CYP,0.07271602,0.134636988,0.3526585,0.110472816,0.146435726,0.362695917,0.484796156,0.501369551,0.596537878,0.011451545,0.021037169,0.022172395,0.025030671,0.025389651,0.037015349,0.023549589,0.022451274,0.024604709
CZE,0.048197067,0.052848921,0.377033784,0.139844014,0.178754239,0.416316671,0.52637523,0.53149276,0.59418631,0.00139946,0.002716498,0.002715231,0.00320246,0.003340323,0.004571587,0.003064049,0.002844674,0.00352867
DEU,0.083826994,0.127411138,0.358406251,0.094736646,0.14244207,0.294729625,0.478149581,0.502871504,0.648889961,0.000891727,0.001659557,0.001651349,0.001849531,0.001886138,0.002665624,0.00180123,0.001766569,0.002182091
DNK,0.081819074,0.15444088,0.377120716,0.067653926,0.154271899,0.300810847,0.472907113,0.511060425,0.692747262,0.002376946,0.00453627,0.004474227,0.005325086,0.005392687,0.00768621,0.005132825,0.004784132,0.004853072
DOM,0.037334665,0.116759248,0.377845907,0.211210755,0.179835932,0.426752709,0.527809575,0.528576034,0.536716828,0.011139843,0.01861938,0.021010134,0.033414798,0.025329795,0.034785665,0.022442567,0.024983254,0.024014542
DZA,0.01738039,0.080066409,0.383791176,0.102994115,0.146867718,0.35971725,0.516105982,0.477294253,0.602128288,0.008648667,0.016872857,0.017496511,0.022358975,0.021834359,0.030836202,0.019891377,0.019075497,0.020940095
ECU,0.021768594,0.142551024,0.298375414,0.13245827,0.185367284,0.440776918,0.472004798,0.470254461,0.376178778,0.007033817,0.013012487,0.015793482,0.018939055,0.018787205,0.026001592,0.018382796,0.016119028,0.023489408
EGY,0.036612174,0.134024585,0.368542975,0.073031733,0.116985416,0.304602339,0.436012179,0.475915693,0.603822359,0.007454565,0.014100578,0.014874247,0.017475631,0.018494733,0.027283853,0.017104519,0.015906827,0.016502928
ESP,0.044816578,0.089936496,0.38865175,0.130620426,0.152242319,0.323547829,0.511039962,0.498560993,0.604194352,0.001287872,0.003062663,0.002563726,0.002848173,0.003026853,0.004259265,0.003011661,0.002710437,0.003254562
EST,0.076420405,0.07611279,0.387052311,0.102712626,0.201575403,0.354228924,0.47304707,0.495994279,0.572212161,0.006706055,0.009282834,0.009662592,0.0115816,0.011972672,0.016826873,0.010702248,0.010342093,0.011496415
FIN,0.075162143,0.147763798,0.3813802,0.096471504,0.138494934,0.295131382,0.461325806,0.481226481,0.624099717,0.001863088,0.003676353,0.003746505,0.004228641,0.004339336,0.00595584,0.004155907,0.003845146,0.004155638
FRA,0.042047122,0.093531193,0.375625439,0.217038568,0.156287595,0.372217504,0.585255005,0.556109558,0.642259612,0.000831292,0.001644589,0.002023406,0.002235784,0.002002302,0.002830151,0.001879072,0.001903472,0.001973172
GBR,0.075417185,0.119648393,0.332686605,0.096612764,0.196541636,0.353761819,0.502950369,0.539386654,0.597346529,0.000965342,0.001856977,0.00186009,0.002034295,0.002110709,0.003088384,0.001974038,0.001839681,0.002500652
GEO,0.052274893,0.075096385,0.346270815,0.084838447,0.174142808,0.341787907,0.459910643,0.470556947,0.548677087,0.010885712,0.020620815,0.022090322,0.024326176,0.025813218,0.037020176,0.025391359,0.02395173,0.025219527
GGY,0.043755813,0.127340304,0.334863068,0.149190927,0.194123485,0.452607131,0.642085036,0.525972687,0.564982411,0.030738728,0.052876501,0.058818358,0.06510093,0.087023474,0.099490014,0.059916762,0.057963206,0.072250148
GRC,0.05571513,0.143591371,0.368453352,0.069931403,0.14146714,0.289557346,0.53596107,0.499934143,0.616805255,0.003567391,0.006752867,0.00664188,0.007954527,0.008010755,0.011207307,0.007194248,0.00714362,0.007451568
GTM,0.033983382,0.188129076,0.306376016,0.155557575,0.218230529,0.458369315,0.463648607,0.467194557,0.54415614,0.00946909,0.018662376,0.021092626,0.024156904,0.025380756,0.03339142,0.022473788,0.021241987,0.024000124
GUM,0.074338876,0.032204075,0.414470231,0.19540349,0.137379259,0.366093192,0.522072495,0.519918968,0.465072049,0.028341762,0.041139822,0.042942605,0.05761821,0.055538846,0.083890259,0.051500927,0.051103956,0.059696938
HKG,0.07627871,0.08715943,0.424483106,0.059300481,0.148795068,0.30434418,0.376798765,0.460171958,0.571881295,0.003466843,0.006737999,0.006595253,0.007468899,0.007915836,0.011208594,0.007611679,0.007163411,0.007827029
HND,0.021334772,0.060739437,0.299081729,0.185302694,0.154131941,0.424856073,0.463289438,0.435367736,0.469986929,0.016039327,0.028618786,0.030243395,0.036762184,0.037755209,0.052844541,0.036620735,0.035286658,0.039917591
HRV,0.047591032,0.086930644,0.396286177,0.090841872,0.177028862,0.338052776,0.506642138,0.527255397,0.618418679,0.004699247,0.009051922,0.008818904,0.010412484,0.011118561,0.015313221,0.010035402,0.009760917,0.010706451
HUN,0.049794503,0.058676772,0.367554628,0.154823503,0.167141003,0.397777026,0.537656412,0.54177167,0.682258787,0.001493529,0.002813227,0.002826305,0.003500108,0.003715924,0.004953138,0.00324841,0.00300375,0.003170025
IDN,0.039658528,0.087975556,0.398171017,0.102064334,0.159530681,0.379726867,0.402001004,0.456525405,0.547935797,0.003957367,0.007163082,0.007710314,0.008786736,0.009269139,0.012703869,0.008767082,0.008127544,0.008465936
IMN,0.059922937,0.107938343,0.341243357,0.132064364,0.064538281,0.314075125,0.519538519,0.605254544,0.640144085,0.026812451,0.050940754,0.047319201,0.060852306,0.060322052,0.095577242,0.057461001,0.051971122,0.051901162
IND,0.059772808,0.116154675,0.315398222,0.123460926,0.12704069,0.31694995,0.410941923,0.477665245,0.556126051,0.003005047,0.005906149,0.00615705,0.007054397,0.007262828,0.010184658,0.007022271,0.00623951,0.006778208
IRL,0.071388298,0.120019656,0.324753246,0.101566707,0.185334975,0.30843717,0.49419418,0.54315472,0.614520209,0.003389261,0.00624527,0.006537916,0.007519633,0.007890162,0.011364468,0.007408421,0.006640201,0.009799571
IRN,0.040802719,0.191886747,0.293049657,0.050851069,0.128442368,0.347267862,0.47399924,0.4805343,0.679145895,0.010381401,0.019448747,0.019907662,0.025129062,0.026147225,0.034551725,0.022290063,0.022260082,0.020907572
IRQ,0.006813121,0.098987894,0.321602628,0.100758171,0.112613788,0.357588171,0.434320366,0.530139787,0.538283542,0.014417385,0.027986536,0.031405333,0.034999011,0.039678343,0.050006295,0.034497339,0.03003746,0.03476044
ISL,0.091773337,0.114420024,0.337842217,0.075641323,0.164712129,0.304733615,0.502100022,0.523817308,0.634602425,0.009740808,0.017837527,0.018023489,0.020730769,0.023279218,0.030329052,0.01890977,0.01850034,0.020197053
ISR,0.032058234,0.100754321,0.357149434,0.096700298,0.141984668,0.376391534,0.464247662,0.541741335,0.521546577,0.002366199,0.004163252,0.004476671,0.005519339,0.005771837,0.008096067,0.005316917,0.004791294,0.006058351
ITA,0.046622997,0.088989614,0.375755211,0.114895433,0.172611745,0.35661732,0.546147923,0.510379392,0.672606589,0.001314551,0.002480132,0.00286799,0.003152363,0.003230882,0.004491756,0.002916602,0.002828409,0.002774278
JAM,0.021751269,0.077904815,0.334755878,0.173961224,0.159514661,0.330932331,0.475728241,0.545425498,0.641518858,0.019951984,0.035714846,0.036136426,0.046456684,0.049220499,0.063637847,0.042187079,0.036551635,0.039900989
JEY,0.077269187,0.071270628,0.253751143,0.09337858,0.23729917,0.313919133,0.468230838,0.548242837,0.454142342,0.025473189,0.045610007,0.048356709,0.054238893,0.058152408,0.084226213,0.049612408,0.053481551,0.060163506
JOR,0.02949552,0.229365432,0.32937595,0.076225188,0.093931989,0.300857448,0.391454266,0.477924848,0.673854093,0.008581485,0.016984407,0.01735186,0.020304527,0.021882189,0.030614435,0.020370558,0.018223753,0.019384132
JPN,0.073653685,0.235227299,0.412275106,0.094794482,0.12445473,0.318228363,0.40006409,0.37365585,0.596494837,0.001489797,0.00287079,0.002881519,0.003090059,0.003166826,0.004515697,0.003101169,0.002957173,0.003204117
KAZ,0.053799508,0.115869496,0.336811711,0.049821951,0.158672072,0.384340236,0.49086722,0.481404053,0.610546207,0.007374215,0.013478066,0.014827395,0.017102014,0.018056102,0.023815116,0.015633415,0.015262043,0.015637113
KEN,0.073779483,0.121912922,0.314246761,0.078134027,0.066919585,0.353581918,0.480575613,0.49181261,0.708904825,0.02005031,0.033203424,0.038309465,0.040107294,0.042514361,0.053401275,0.044404081,0.037732102,0.034994272
KGZ,0.095307955,0.082894075,0.332578978,0.108557061,0.115103629,0.373226754,0.479177701,0.459312749,0.574940655,0.022378721,0.041248802,0.042384,0.045272728,0.047998958,0.069097261,0.04482151,0.044457955,0.049345742
KHM,0.044188797,0.170649146,0.365364953,0.173622336,0.135216223,0.286101251,0.3288661,0.484862822,0.54483071,0.018012942,0.032211512,0.037887713,0.04245431,0.043061277,0.059455473,0.048611309,0.034485626,0.046806928
KOR,0.061313549,0.132327319,0.356525786,0.121054384,0.106006478,0.295447474,0.378117869,0.43416246,0.7004119,0.003288244,0.007140705,0.006407033,0.006838476,0.006962088,0.01008118,0.006940137,0.00641658,0.005894787
KWT,0.037104857,0.13356572,0.375241381,0.06247817,0.117578386,0.351014635,0.402799499,0.423940393,0.623207671,0.012504598,0.022774473,0.024208251,0.027445665,0.030101173,0.038546991,0.027033563,0.026529356,0.024590611
LBN,0.038429365,0.118943182,0.389624126,0.086603907,0.103607452,0.329076443,0.456452633,0.49555268,0.59553225,0.010978695,0.023019843,0.022624322,0.025595857,0.028288052,0.038467891,0.025540191,0.023536512,0.030724572
LKA,0.087502045,0.145737203,0.327292578,0.064451533,0.205107942,0.348260314,0.418664238,0.482926448,0.618038146,0.015997304,0.031709948,0.031302187,0.034518998,0.037376609,0.054791491,0.035621073,0.030690618,0.036437417
LTU,0.043932862,0.086209584,0.2665216,0.12559983,0.220006193,0.415530949,0.53929568,0.50851978,0.604269689,0.002742741,0.005435071,0.005500679,0.006569553,0.006540432,0.009087228,0.005781528,0.005683548,0.005996677
LUX,0.072682783,0.093031483,0.368272948,0.122261163,0.159414832,0.295063641,0.458068348,0.503405365,0.632484121,0.007770028,0.015474698,0.013843927,0.016521636,0.01723857,0.024721642,0.016599906,0.015042794,0.016256903
LVA,0.067615381,0.010468912,0.392062887,0.073813163,0.184700471,0.362250773,0.479464409,0.471738394,0.584892146,0.005867657,0.012224422,0.011185032,0.012665297,0.013178747,0.018447676,0.012154612,0.011619781,0.01248748
MAC,0.077225762,0.150801621,0.461782755,0.108783659,0.120272484,0.261565542,0.41318622,0.404340343,0.551619119,0.022737949,0.040302922,0.039353164,0.046731852,0.052054993,0.077610762,0.047593505,0.046432403,0.046401217
MAR,0.03007239,0.104378327,0.356029276,0.124781385,0.128150084,0.391248999,0.514837022,0.501972444,0.634404208,0.007222584,0.01290822,0.013212095,0.016375535,0.017365628,0.024068808,0.015080552,0.015262371,0.015385439
MCO,0.070906849,5.58E-05,0.486110512,0.215168025,0.141306221,0.249848195,0.421240085,0.478455859,0.661917921,0.030539883,0.059280614,0.054555521,0.075446748,0.08673104,0.131171315,0.084133731,0.082111313,0.057434358
MDA,0.056322828,0.08707483,0.343216254,0.07159122,0.165014276,0.366351695,0.458634564,0.463691618,0.604004217,0.011578918,0.020386139,0.022511326,0.026023664,0.027741018,0.037608793,0.026003733,0.024163948,0.025382488
