PersonaGroup,UserCountry3,PersonaCluster,PersonaNationality,EuclideanDistanceFromNeutral,RMSEFromNeutral,MeanAbsoluteDifferenceFromNeutral,ComparedEffects
West_Brazilian,BRA,West,Brazilian,0.520175221,0.17339174,0.133400936,9
East_HongKonger,HKG,East,HongKonger,0.527431119,0.175810373,0.132727627,9
West_Russian,RUS,West,Russian,0.528409719,0.176136573,0.111261488,9
West_Polish,POL,West,Polish,0.565457941,0.18848598,0.140817451,9
West_German,DEU,West,German,0.566209896,0.188736632,0.156029291,9
East_Taiwanese,TWN,East,Taiwanese,0.601548665,0.200516222,0.161060958,9
East_Japanese,JPN,East,Japanese,0.612091579,0.204030526,0.178254641,9
East_Chinese,CHN,East,Chinese,0.651784653,0.217261551,0.185330842,9
West_British,GBR,West,British,0.659333828,0.219777943,0.18995963,9
West_Australian,AUS,West,Australian,0.663351486,0.221117162,0.187151325,9
West_American,USA,West,American,0.666902337,0.222300779,0.186058129,9
East_Emirati,ARE,East,Emirati,0.670256865,0.223418955,0.190982103,9
West_Canadian,CAN,West,Canadian,0.684108735,0.228036245,0.201369036,9
West_Italian,ITA,West,Italian,0.713096403,0.237698801,0.200118212,9
East_Malaysian,MYS,East,Malaysian,0.740987399,0.2469958,0.210093866,9
East_Indonesian,IDN,East,Indonesian,0.770257029,0.256752343,0.229565796,9
East_Korean,KOR,East,Korean,0.77372159,0.257907197,0.211784003,9
East_SaudiArabian,SAU,East,SaudiArabian,0.779989383,0.259996461,0.218932335,9
East_Indian,IND,East,Indian,0.784718589,0.261572863,0.23492528,9
West_Spanish,ESP,West,Spanish,0.789564729,0.263188243,0.236997299,9
