Effect,ReferenceLevel,ComparedLevel,Contrast,Estimate,SE,N,PersonaGroup,UserCountry3,PersonaCluster,PersonaNationality,NeutralEstimate,NeutralSE,NeutralN,DifferenceFromNeutral,AbsDifferenceFromNeutral
Law,Illegal,Legal,Legal - Illegal,-0.02617801,0.129055202,62,East_Indian,IND,East,Indian,0.42408377,0.116915422,62,-0.45026178,0.45026178
Law,Illegal,Legal,Legal - Illegal,-0.02617801,0.129055202,62,East_Indonesian,IDN,East,Indonesian,0.42408377,0.116915422,62,-0.45026178,0.45026178
Law,Illegal,Legal,Legal - Illegal,-0.02617801,0.129055202,62,East_Korean,KOR,East,Korean,0.42408377,0.116915422,62,-0.45026178,0.45026178
Law,Illegal,Legal,Legal - Illegal,-0.02617801,0.129055202,62,East_Malaysian,MYS,East,Malaysian,0.42408377,0.116915422,62,-0.45026178,0.45026178
Law,Illegal,Legal,Legal - Illegal,-0.02617801,0.129055202,62,West_Australian,AUS,West,Australian,0.42408377,0.116915422,62,-0.45026178,0.45026178
Law,Illegal,Legal,Legal - Illegal,-0.02617801,0.129055202,62,West_Canadian,CAN,West,Canadian,0.42408377,0.116915422,62,-0.45026178,0.45026178
Law,Illegal,Legal,Legal - Illegal,-0.02617801,0.129055202,62,West_Russian,RUS,West,Russian,0.42408377,0.116915422,62,-0.45026178,0.45026178
Law,Illegal,Legal,Legal - Illegal,-0.02617801,0.129055202,62,West_Spanish,ESP,West,Spanish,0.42408377,0.116915422,62,-0.45026178,0.45026178
Law,Illegal,Legal,Legal - Illegal,0.02617801,0.129055202,62,East_Emirati,ARE,East,Emirati,0.42408377,0.116915422,62,-0.397905759,0.397905759
Law,Illegal,Legal,Legal - Illegal,0.02617801,0.129055202,62,East_SaudiArabian,SAU,East,SaudiArabian,0.42408377,0.116915422,62,-0.397905759,0.397905759
Law,Illegal,Legal,Legal - Illegal,0.02617801,0.129055202,62,West_British,GBR,West,British,0.42408377,0.116915422,62,-0.397905759,0.397905759
Law,Illegal,Legal,Legal - Illegal,0.02617801,0.129055202,62,West_Italian,ITA,West,Italian,0.42408377,0.116915422,62,-0.397905759,0.397905759
Law,Illegal,Legal,Legal - Illegal,0.02617801,0.129055202,62,West_Polish,POL,West,Polish,0.42408377,0.116915422,62,-0.397905759,0.397905759
Relation to AV,Passengers,Pedestrians,Pedestrians - Passengers,0.764770217,0.079079529,67,East_Korean,KOR,East,Korean,0.368375003,0.115308637,67,0.396395214,0.396395214
Age,Elderly,Young,Young - Elderly,-0.873808635,0.080939719,40,East_SaudiArabian,SAU,East,SaudiArabian,-0.482006302,0.142808161,40,-0.391802333,0.391802333
Age,Elderly,Young,Young - Elderly,-0.873808635,0.080939719,40,West_American,USA,West,American,-0.482006302,0.142808161,40,-0.391802333,0.391802333
Relation to AV,Passengers,Pedestrians,Pedestrians - Passengers,0.734715751,0.083518993,67,East_Japanese,JPN,East,Japanese,0.368375003,0.115308637,67,0.366340749,0.366340749
Relation to AV,Passengers,Pedestrians,Pedestrians - Passengers,0.734715751,0.083518993,67,East_SaudiArabian,SAU,East,SaudiArabian,0.368375003,0.115308637,67,0.366340749,0.366340749
Relation to AV,Passengers,Pedestrians,Pedestrians - Passengers,0.714679441,0.086251489,67,East_Chinese,CHN,East,Chinese,0.368375003,0.115308637,67,0.346304438,0.346304438
Law,Illegal,Legal,Legal - Illegal,0.078534031,0.128700713,62,East_HongKonger,HKG,East,HongKonger,0.42408377,0.116915422,62,-0.345549738,0.345549738
Law,Illegal,Legal,Legal - Illegal,0.078534031,0.128700713,62,West_American,USA,West,American,0.42408377,0.116915422,62,-0.345549738,0.345549738
Law,Illegal,Legal,Legal - Illegal,0.078534031,0.128700713,62,West_Brazilian,BRA,West,Brazilian,0.42408377,0.116915422,62,-0.345549738,0.345549738
Law,Illegal,Legal,Legal - Illegal,0.078534031,0.128700713,62,West_German,DEU,West,German,0.42408377,0.116915422,62,-0.345549738,0.345549738
Fitness,Large,Fit,Fit - Large,1,0,24,East_Malaysian,MYS,East,Malaysian,0.654465936,0.161199247,24,0.345534064,0.345534064
Fitness,Large,Fit,Fit - Large,1,0,24,West_Italian,ITA,West,Italian,0.654465936,0.161199247,24,0.345534064,0.345534064
Relation to AV,Passengers,Pedestrians,Pedestrians - Passengers,0.710348448,0.087170984,67,East_Taiwanese,TWN,East,Taiwanese,0.368375003,0.115308637,67,0.341973445,0.341973445
Relation to AV,Passengers,Pedestrians,Pedestrians - Passengers,0.708992279,0.086431557,67,East_Indian,IND,East,Indian,0.368375003,0.115308637,67,0.340617276,0.340617276
Relation to AV,Passengers,Pedestrians,Pedestrians - Passengers,0.708992279,0.086431557,67,West_Spanish,ESP,West,Spanish,0.368375003,0.115308637,67,0.340617276,0.340617276
Gender,Male,Female,Female - Male,-0.8553789,0.096160066,32,West_British,GBR,West,British,-0.518580808,0.156742344,32,-0.336798091,0.336798091
Law,Illegal,Legal,Legal - Illegal,0.109947644,0.128316764,62,East_Taiwanese,TWN,East,Taiwanese,0.42408377,0.116915422,62,-0.314136126,0.314136126
Relation to AV,Passengers,Pedestrians,Pedestrians - Passengers,0.680293983,0.090844951,67,East_HongKonger,HKG,East,HongKonger,0.368375003,0.115308637,67,0.31191898,0.31191898
Age,Elderly,Young,Young - Elderly,-0.777435379,0.103972979,40,East_Indian,IND,East,Indian,-0.482006302,0.142808161,40,-0.295429077,0.295429077
Age,Elderly,Young,Young - Elderly,-0.777435379,0.103972979,40,East_Korean,KOR,East,Korean,-0.482006302,0.142808161,40,-0.295429077,0.295429077
Age,Elderly,Young,Young - Elderly,-0.777435379,0.103972979,40,West_Spanish,ESP,West,Spanish,-0.482006302,0.142808161,40,-0.295429077,0.295429077
Law,Illegal,Legal,Legal - Illegal,0.130890052,0.127988788,62,East_Chinese,CHN,East,Chinese,0.42408377,0.116915422,62,-0.293193717,0.293193717
Law,Illegal,Legal,Legal - Illegal,0.130890052,0.127988788,62,East_Japanese,JPN,East,Japanese,0.42408377,0.116915422,62,-0.293193717,0.293193717
Relation to AV,Passengers,Pedestrians,Pedestrians - Passengers,0.658901503,0.092620222,67,East_Emirati,ARE,East,Emirati,0.368375003,0.115308637,67,0.2905265,0.2905265
Age,Elderly,Young,Young - Elderly,-0.768647756,0.104691174,40,East_Indonesian,IDN,East,Indonesian,-0.482006302,0.142808161,40,-0.286641455,0.286641455
Age,Elderly,Young,Young - Elderly,-0.768647756,0.104691174,40,West_German,DEU,West,German,-0.482006302,0.142808161,40,-0.286641455,0.286641455
Age,Elderly,Young,Young - Elderly,-0.768647756,0.104691174,40,West_Italian,ITA,West,Italian,-0.482006302,0.142808161,40,-0.286641455,0.286641455
