Effect,UserCountry3,PersonaGroup,PersonaCluster,PersonaNationality,HumanEstimate,HumanSE,NeutralEstimate,NeutralSE,NeutralN,BaselineDifferenceFromHuman,BaselineAbsDifferenceFromHuman,BaselineSquaredDifferenceFromHuman
Age,ARE,East_Emirati,East,Emirati,0.44720424,0.012422584,-0.482006302,0.142808161,40,-0.929210542,0.929210542,0.86343223
Age,AUS,West_Australian,West,Australian,0.50152598,0.002772133,-0.482006302,0.142808161,40,-0.983532282,0.983532282,0.967335749
Age,BRA,West_Brazilian,West,Brazilian,0.471815331,0.001951296,-0.482006302,0.142808161,40,-0.953821633,0.953821633,0.909775707
Age,CAN,West_Canadian,West,Canadian,0.50660609,0.002908917,-0.482006302,0.142808161,40,-0.988612392,0.988612392,0.977354461
Age,CHN,East_Chinese,East,Chinese,0.353739928,0.009584414,-0.482006302,0.142808161,40,-0.83574623,0.83574623,0.69847176
Age,DEU,West_German,West,German,0.478149581,0.00180123,-0.482006302,0.142808161,40,-0.960155883,0.960155883,0.921899319
Age,ESP,West_Spanish,West,Spanish,0.511039962,0.003011661,-0.482006302,0.142808161,40,-0.993046264,0.993046264,0.986140881
Age,GBR,West_British,West,British,0.502950369,0.001974038,-0.482006302,0.142808161,40,-0.984956671,0.984956671,0.970139643
Age,HKG,East_HongKonger,East,HongKonger,0.376798765,0.007611679,-0.482006302,0.142808161,40,-0.858805067,0.858805067,0.737546142
Age,IDN,East_Indonesian,East,Indonesian,0.402001004,0.008767082,-0.482006302,0.142808161,40,-0.884007306,0.884007306,0.781468916
Age,IND,East_Indian,East,Indian,0.410941923,0.007022271,-0.482006302,0.142808161,40,-0.892948225,0.892948225,0.797356532
Age,ITA,West_Italian,West,Italian,0.546147923,0.002916602,-0.482006302,0.142808161,40,-1.028154225,1.028154225,1.057101109
Age,JPN,East_Japanese,East,Japanese,0.40006409,0.003101169,-0.482006302,0.142808161,40,-0.882070392,0.882070392,0.778048176
Age,KOR,East_Korean,East,Korean,0.378117869,0.006940137,-0.482006302,0.142808161,40,-0.860124171,0.860124171,0.739813589
Age,MYS,East_Malaysian,East,Malaysian,0.389846978,0.009549464,-0.482006302,0.142808161,40,-0.87185328,0.87185328,0.760128141
Age,POL,West_Polish,West,Polish,0.467292833,0.002840937,-0.482006302,0.142808161,40,-0.949299135,0.949299135,0.901168847
Age,RUS,West_Russian,West,Russian,0.449177027,0.002413175,-0.482006302,0.142808161,40,-0.931183329,0.931183329,0.867102391
Age,SAU,East_SaudiArabian,East,SaudiArabian,0.373165006,0.011840697,-0.482006302,0.142808161,40,-0.855171308,0.855171308,0.731317965
Age,TWN,East_Taiwanese,East,Taiwanese,0.345241775,0.006788459,-0.482006302,0.142808161,40,-0.827248077,0.827248077,0.68433938
Age,USA,West_American,West,American,0.490754563,0.001318415,-0.482006302,0.142808161,40,-0.972760865,0.972760865,0.9462637
Fitness,ARE,East_Emirati,East,Emirati,0.118927539,0.012939887,0.654465936,0.161199247,24,0.535538397,0.535538397,0.286801375
Fitness,AUS,West_Australian,West,Australian,0.191460181,0.002905516,0.654465936,0.161199247,24,0.463005755,0.463005755,0.214374329
Fitness,BRA,West_Brazilian,West,Brazilian,0.088107013,0.002084424,0.654465936,0.161199247,24,0.566358923,0.566358923,0.32076243
Fitness,CAN,West_Canadian,West,Canadian,0.190256145,0.002435636,0.654465936,0.161199247,24,0.464209791,0.464209791,0.21549073
Fitness,CHN,East_Chinese,East,Chinese,0.131550503,0.009964288,0.654465936,0.161199247,24,0.522915433,0.522915433,0.27344055
Fitness,DEU,West_German,West,German,0.14244207,0.001886138,0.654465936,0.161199247,24,0.512023866,0.512023866,0.262168439
Fitness,ESP,West_Spanish,West,Spanish,0.152242319,0.003026853,0.654465936,0.161199247,24,0.502223617,0.502223617,0.252228561
Fitness,GBR,West_British,West,British,0.196541636,0.002110709,0.654465936,0.161199247,24,0.4579243,0.4579243,0.209694664
Fitness,HKG,East_HongKonger,East,HongKonger,0.148795068,0.007915836,0.654465936,0.161199247,24,0.505670868,0.505670868,0.255703027
Fitness,IDN,East_Indonesian,East,Indonesian,0.159530681,0.009269139,0.654465936,0.161199247,24,0.494935255,0.494935255,0.244960907
Fitness,IND,East_Indian,East,Indian,0.12704069,0.007262828,0.654465936,0.161199247,24,0.527425246,0.527425246,0.27817739
Fitness,ITA,West_Italian,West,Italian,0.172611745,0.003230882,0.654465936,0.161199247,24,0.481854191,0.481854191,0.232183461
Fitness,JPN,East_Japanese,East,Japanese,0.12445473,0.003166826,0.654465936,0.161199247,24,0.530011206,0.530011206,0.280911878
Fitness,KOR,East_Korean,East,Korean,0.106006478,0.006962088,0.654465936,0.161199247,24,0.548459458,0.548459458,0.300807777
Fitness,MYS,East_Malaysian,East,Malaysian,0.146604761,0.010493838,0.654465936,0.161199247,24,0.507861175,0.507861175,0.257922973
Fitness,POL,West_Polish,West,Polish,0.152242478,0.003072617,0.654465936,0.161199247,24,0.502223458,0.502223458,0.252228402
Fitness,RUS,West_Russian,West,Russian,0.156272962,0.002515582,0.654465936,0.161199247,24,0.498192974,0.498192974,0.248196239
Fitness,SAU,East_SaudiArabian,East,SaudiArabian,0.08229366,0.012740378,0.654465936,0.161199247,24,0.572172276,0.572172276,0.327381113
Fitness,TWN,East_Taiwanese,East,Taiwanese,0.130986749,0.006983797,0.654465936,0.161199247,24,0.523479187,0.523479187,0.274030459
Fitness,USA,West_American,West,American,0.176191071,0.001020982,0.654465936,0.161199247,24,0.478274865,0.478274865,0.228746846
Gender,ARE,East_Emirati,East,Emirati,0.117194536,0.012843878,-0.518580808,0.156742344,32,-0.635775344,0.635775344,0.404210289
Gender,AUS,West_Australian,West,Australian,0.110603367,0.002791139,-0.518580808,0.156742344,32,-0.629184175,0.629184175,0.395872727
Gender,BRA,West_Brazilian,West,Brazilian,0.146003101,0.002015738,-0.518580808,0.156742344,32,-0.664583909,0.664583909,0.441671773
Gender,CAN,West_Canadian,West,Canadian,0.113371309,0.002418591,-0.518580808,0.156742344,32,-0.631952117,0.631952117,0.399363479
