PersonaGroup,UserCountry3,PersonaCluster,PersonaNationality,PersonaEuclideanDistanceToHuman,PersonaRMSEToHuman,PersonaMeanAbsoluteDifferenceToHuman,ComparedEffectsPersona,BaselineEuclideanDistanceToHuman,BaselineRMSEToHuman,BaselineMeanAbsoluteDifferenceToHuman,ComparedEffectsBaseline,EuclideanDistanceImprovement,RMSEImprovement,MeanAbsoluteDifferenceImprovement,H2SupportedByEuclidean,H2SupportedByRMSE
East_HongKonger,HKG,East,HongKonger,2.006166003,0.668722001,0.549603568,9,1.833961977,0.611320659,0.456578073,9,-0.172204026,-0.057401342,-0.093025495,FALSE,FALSE
East_Taiwanese,TWN,East,Taiwanese,2.06170594,0.687235313,0.565447431,9,1.843093078,0.614364359,0.476865006,9,-0.218612862,-0.072870954,-0.088582426,FALSE,FALSE
East_Japanese,JPN,East,Japanese,2.211866156,0.737288719,0.589452798,9,1.882794072,0.627598024,0.461723808,9,-0.329072085,-0.109690695,-0.12772899,FALSE,FALSE
East_Indonesian,IDN,East,Indonesian,2.178906489,0.726302163,0.556188312,9,1.839129239,0.61304308,0.459118775,9,-0.33977725,-0.113259083,-0.097069537,FALSE,FALSE
East_Chinese,CHN,East,Chinese,2.304473487,0.768157829,0.618400664,9,1.933287941,0.644429314,0.486036797,9,-0.371185546,-0.123728515,-0.132363867,FALSE,FALSE
East_Emirati,ARE,East,Emirati,2.292084937,0.764028312,0.616129232,9,1.884578455,0.628192818,0.473617116,9,-0.407506482,-0.135835494,-0.142512115,FALSE,FALSE
East_Indian,IND,East,Indian,2.304621485,0.768207162,0.610769793,9,1.86163491,0.62054497,0.475467023,9,-0.442986575,-0.147662192,-0.13530277,FALSE,FALSE
East_SaudiArabian,SAU,East,SaudiArabian,2.318714403,0.772904801,0.615895512,9,1.871791972,0.623930657,0.468500096,9,-0.446922432,-0.148974144,-0.147395416,FALSE,FALSE
East_Malaysian,MYS,East,Malaysian,2.292631681,0.76421056,0.632911035,9,1.823281345,0.607760448,0.457816162,9,-0.469350336,-0.156450112,-0.175094872,FALSE,FALSE
East_Korean,KOR,East,Korean,2.441798306,0.813932769,0.668422015,9,1.96296897,0.65432299,0.490606331,9,-0.478829336,-0.159609779,-0.177815684,FALSE,FALSE
West_Russian,RUS,West,Russian,2.077456547,0.692485516,0.574170172,9,1.891724908,0.630574969,0.471566523,9,-0.185731638,-0.061910546,-0.102603649,FALSE,FALSE
West_Polish,POL,West,Polish,2.252219375,0.750739792,0.606419311,9,1.937926462,0.645975487,0.486523369,9,-0.314292913,-0.104764304,-0.119895942,FALSE,FALSE
West_British,GBR,West,British,2.226798838,0.742266279,0.540919698,9,1.896108435,0.632036145,0.464569252,9,-0.330690403,-0.110230134,-0.076350447,FALSE,FALSE
West_Canadian,CAN,West,Canadian,2.293007536,0.764335845,0.57971956,9,1.924590898,0.641530299,0.472357342,9,-0.368416638,-0.122805546,-0.107362217,FALSE,FALSE
West_Australian,AUS,West,Australian,2.269503291,0.756501097,0.589978276,9,1.899080959,0.633026986,0.468106852,9,-0.370422332,-0.123474111,-0.121871424,FALSE,FALSE
West_Brazilian,BRA,West,Brazilian,2.159522886,0.719840962,0.585153463,9,1.785903354,0.595301118,0.476058675,9,-0.373619531,-0.124539844,-0.109094788,FALSE,FALSE
West_German,DEU,West,German,2.333953501,0.7779845,0.582065887,9,1.940308742,0.646769581,0.479304945,9,-0.393644759,-0.13121492,-0.102760942,FALSE,FALSE
West_Italian,ITA,West,Italian,2.388780586,0.796260195,0.556816537,9,1.992829575,0.664276525,0.487147729,9,-0.395951011,-0.13198367,-0.069668807,FALSE,FALSE
West_American,USA,West,American,2.422146696,0.807382232,0.630256067,9,1.898283795,0.632761265,0.471882738,9,-0.523862901,-0.174620967,-0.158373329,FALSE,FALSE
West_Spanish,ESP,West,Spanish,2.489654285,0.829884762,0.680344332,9,1.93873171,0.646243903,0.483306075,9,-0.550922575,-0.183640858,-0.197038258,FALSE,FALSE
