PersonaCluster,Effect,ReferenceLevel,ComparedLevel,Contrast,ClusterEstimate,Personas,EffectRows
East,Intervention,Omission,Commission,Commission - Omission,0.12758652095079,10,10
East,Relation to AV,Passengers,Pedestrians,Pedestrians - Passengers,0.691502067064768,10,10
East,Law,Illegal,Legal,Legal - Illegal,0.0397905759162306,10,10
East,Gender,Male,Female,Female - Male,-0.585956836935681,10,10
East,Fitness,Large,Fit,Fit - Large,0.642149371234686,10,10
East,Social Status,Low,High,High - Low,0.651709494762245,10,10
East,Age,Elderly,Young,Young - Elderly,-0.689129978284959,10,10
East,No. Characters,Less,More,More - Less,0.712278332132414,10,10
East,Species,Pets,Humans,Humans - Pets,-0.966998489871336,10,10
West,Intervention,Omission,Commission,Commission - Omission,0.0691142672242156,10,10
West,Relation to AV,Passengers,Pedestrians,Pedestrians - Passengers,0.463807773913424,10,10
West,Law,Illegal,Legal,Legal - Illegal,0.0209424083769635,10,10
West,Gender,Male,Female,Female - Male,-0.660966031137567,10,10
West,Fitness,Large,Fit,Fit - Large,0.747598733839911,10,10
West,Social Status,Low,High,High - Low,0.564245048646368,10,10
West,Age,Elderly,Young,Young - Elderly,-0.690918220463693,10,10
West,No. Characters,Less,More,More - Less,0.740333178195032,10,10
West,Species,Pets,Humans,Humans - Pets,-0.97727753224458,10,10
