Effect,DiffNumberOFCharacters,ReferenceLevel,ComparedLevel,Contrast,Estimate,SE,N,PersonaGroup,UserCountry3,PersonaCluster,PersonaNationality
No. Characters,1,Less,More,More - Less,1,6.80545932871861e-17,16,East_Chinese,CHN,East,Chinese
No. Characters,2,Less,More,More - Less,1,1.16110807241353e-16,8,East_Chinese,CHN,East,Chinese
No. Characters,3,Less,More,More - Less,0.343574672722415,0.399369603597728,8,East_Chinese,CHN,East,Chinese
No. Characters,4,Less,More,More - Less,,,0,East_Chinese,CHN,East,Chinese
No. Characters,1,Less,More,More - Less,1,6.80545932871861e-17,16,East_Emirati,ARE,East,Emirati
No. Characters,2,Less,More,More - Less,1,1.16110807241353e-16,8,East_Emirati,ARE,East,Emirati
No. Characters,3,Less,More,More - Less,-0.0365348650814855,0.407975735314712,8,East_Emirati,ARE,East,Emirati
No. Characters,4,Less,More,More - Less,,,0,East_Emirati,ARE,East,Emirati
No. Characters,1,Less,More,More - Less,1,6.80545932871861e-17,16,East_HongKonger,HKG,East,HongKonger
No. Characters,2,Less,More,More - Less,1,1.16110807241353e-16,8,East_HongKonger,HKG,East,HongKonger
No. Characters,3,Less,More,More - Less,-0.0365348650814855,0.407975735314712,8,East_HongKonger,HKG,East,HongKonger
No. Characters,4,Less,More,More - Less,,,0,East_HongKonger,HKG,East,HongKonger
No. Characters,1,Less,More,More - Less,1,6.80545932871861e-17,16,East_Indian,IND,East,Indian
No. Characters,2,Less,More,More - Less,1,1.16110807241353e-16,8,East_Indian,IND,East,Indian
No. Characters,3,Less,More,More - Less,-0.0365348650814855,0.407975735314712,8,East_Indian,IND,East,Indian
No. Characters,4,Less,More,More - Less,,,0,East_Indian,IND,East,Indian
No. Characters,1,Less,More,More - Less,0.654187720366241,0.246212488111537,16,East_Indonesian,IDN,East,Indonesian
No. Characters,2,Less,More,More - Less,1,1.16110807241353e-16,8,East_Indonesian,IDN,East,Indonesian
No. Characters,3,Less,More,More - Less,-0.0365348650814855,0.407975735314712,8,East_Indonesian,IDN,East,Indonesian
No. Characters,4,Less,More,More - Less,,,0,East_Indonesian,IDN,East,Indonesian
