PersonaGroup,UserCountry3,PersonaCluster,PersonaNationality,EuclideanDistanceFromNeutral,RMSEFromNeutral,MeanAbsoluteDifferenceFromNeutral,ComparedEffects
West_Brazilian,BRA,West,Brazilian,0.304590636158004,0.101530212052668,0.0835438295118992,9
East_Malaysian,MYS,East,Malaysian,0.359246461358586,0.119748820452862,0.100415478111606,9
West_American,USA,West,American,0.362362737977744,0.120787579325915,0.101137731137377,9
West_Canadian,CAN,West,Canadian,0.36306729458014,0.121022431526713,0.100253442134775,9
West_Australian,AUS,West,Australian,0.36663024277046,0.122210080923486,0.0872036664971055,9
East_HongKonger,HKG,East,HongKonger,0.369057331254209,0.12301911041807,0.0943408470477265,9
East_Korean,KOR,East,Korean,0.40147363279924,0.133824544266413,0.112440601041428,9
East_Indian,IND,East,Indian,0.40667183175117,0.13555727725039,0.110658360514748,9
West_Spanish,ESP,West,Spanish,0.42596378590577,0.141987928635257,0.120459605077462,9
West_Russian,RUS,West,Russian,0.426504677988618,0.142168225996206,0.112040254586969,9
West_Polish,POL,West,Polish,0.437427852601785,0.145809284200595,0.117740206325813,9
East_Taiwanese,TWN,East,Taiwanese,0.437750821876837,0.145916940625612,0.108284723931786,9
East_Indonesian,IDN,East,Indonesian,0.450752814331998,0.150250938110666,0.118708733153186,9
East_Chinese,CHN,East,Chinese,0.4569731211265,0.152324373708833,0.0952806782862771,9
East_Japanese,JPN,East,Japanese,0.464773150081686,0.154924383360562,0.114681120975796,9
West_German,DEU,West,German,0.473181083261272,0.157727027753757,0.12921896569403,9
West_British,GBR,West,British,0.476025359804997,0.158675119934999,0.125900820186117,9
East_Emirati,ARE,East,Emirati,0.477710115286037,0.159236705095346,0.119867284645476,9
West_Italian,ITA,West,Italian,0.495944276607933,0.165314758869311,0.136430084102649,9
East_SaudiArabian,SAU,East,SaudiArabian,0.533351824963349,0.17778394165445,0.144165970835392,9
