Effect,ReferenceLevel,ComparedLevel,Contrast,Estimate,SE,N,PersonaGroup,UserCountry3,PersonaCluster,PersonaNationality,NeutralEstimate,NeutralSE,NeutralN,DifferenceFromNeutral,AbsDifferenceFromNeutral
Age,Elderly,Young,Young - Elderly,-0.475618331034374,0.0699523228823962,160,East_Chinese,CHN,East,Chinese,-0.44518507522052,0.0714110033998376,160,-0.030433255813854,0.030433255813854
Age,Elderly,Young,Young - Elderly,-0.392315873159438,0.0731901202846177,160,East_Emirati,ARE,East,Emirati,-0.44518507522052,0.0714110033998376,160,0.052869202061082,0.052869202061082
Age,Elderly,Young,Young - Elderly,-0.451036344216865,0.0711345104876055,160,East_HongKonger,HKG,East,HongKonger,-0.44518507522052,0.0714110033998376,160,-0.00585126899634503,0.00585126899634503
Age,Elderly,Young,Young - Elderly,-0.600961419487444,0.0637731881336325,160,East_Indian,IND,East,Indian,-0.44518507522052,0.0714110033998376,160,-0.155776344266924,0.155776344266924
Age,Elderly,Young,Young - Elderly,-0.595917387721825,0.0640720608768037,160,East_Indonesian,IDN,East,Indonesian,-0.44518507522052,0.0714110033998376,160,-0.150732312501305,0.150732312501305
Age,Elderly,Young,Young - Elderly,-0.479825154316739,0.0693859828941172,160,East_Japanese,JPN,East,Japanese,-0.44518507522052,0.0714110033998376,160,-0.034640079096219,0.034640079096219
Age,Elderly,Young,Young - Elderly,-0.569764246014632,0.0654585259074078,160,East_Korean,KOR,East,Korean,-0.44518507522052,0.0714110033998376,160,-0.124579170794112,0.124579170794112
Age,Elderly,Young,Young - Elderly,-0.42607153548649,0.0719767580441361,160,East_Malaysian,MYS,East,Malaysian,-0.44518507522052,0.0714110033998376,160,0.01911353973403,0.01911353973403
Age,Elderly,Young,Young - Elderly,-0.57040390957877,0.0655352470704301,160,East_SaudiArabian,SAU,East,SaudiArabian,-0.44518507522052,0.0714110033998376,160,-0.12521883435825,0.12521883435825
Age,Elderly,Young,Young - Elderly,-0.48652972860947,0.0696100201111922,160,East_Taiwanese,TWN,East,Taiwanese,-0.44518507522052,0.0714110033998376,160,-0.0413446533889501,0.0413446533889501
Age,Elderly,Young,Young - Elderly,-0.613571724130182,0.0630121836202413,160,West_American,USA,West,American,-0.44518507522052,0.0714110033998376,160,-0.168386648909662,0.168386648909662
Age,Elderly,Young,Young - Elderly,-0.582337567402185,0.064870494942664,160,West_Australian,AUS,West,Australian,-0.44518507522052,0.0714110033998376,160,-0.137152492181665,0.137152492181665
Age,Elderly,Young,Young - Elderly,-0.570084073104436,0.0651307045573,160,West_Brazilian,BRA,West,Brazilian,-0.44518507522052,0.0714110033998376,160,-0.124898997883916,0.124898997883916
Age,Elderly,Young,Young - Elderly,-0.492237794387623,0.06925429338401,160,West_British,GBR,West,British,-0.44518507522052,0.0714110033998376,160,-0.047052719167103,0.047052719167103
Age,Elderly,Young,Young - Elderly,-0.515608194538854,0.0683004997311036,160,West_Canadian,CAN,West,Canadian,-0.44518507522052,0.0714110033998376,160,-0.070423119318334,0.070423119318334
Age,Elderly,Young,Young - Elderly,-0.671270780719958,0.0591403535872575,160,West_German,DEU,West,German,-0.44518507522052,0.0714110033998376,160,-0.226085705499438,0.226085705499438
Age,Elderly,Young,Young - Elderly,-0.596312587828266,0.063589175358121,160,West_Italian,ITA,West,Italian,-0.44518507522052,0.0714110033998376,160,-0.151127512607746,0.151127512607746
Age,Elderly,Young,Young - Elderly,-0.489152329045706,0.0694710028695225,160,West_Polish,POL,West,Polish,-0.44518507522052,0.0714110033998376,160,-0.043967253825186,0.043967253825186
Age,Elderly,Young,Young - Elderly,-0.493657962178954,0.0693317511039156,160,West_Russian,RUS,West,Russian,-0.44518507522052,0.0714110033998376,160,-0.0484728869584341,0.0484728869584341
Age,Elderly,Young,Young - Elderly,-0.513854428643652,0.0683600983420747,160,West_Spanish,ESP,West,Spanish,-0.44518507522052,0.0714110033998376,160,-0.0686693534231321,0.0686693534231321
Fitness,Large,Fit,Fit - Large,0.186777435738472,0.0856168802521618,132,East_Chinese,CHN,East,Chinese,0.14519608980064,0.0867443766022083,132,0.041581345937832,0.041581345937832
Fitness,Large,Fit,Fit - Large,0.190715225343869,0.0848109609072911,132,East_Emirati,ARE,East,Emirati,0.14519608980064,0.0867443766022083,132,0.045519135543229,0.045519135543229
Fitness,Large,Fit,Fit - Large,-0.00219447838265152,0.0876722943392726,132,East_HongKonger,HKG,East,HongKonger,0.14519608980064,0.0867443766022083,132,-0.147390568183292,0.147390568183292
Fitness,Large,Fit,Fit - Large,0.139995488367439,0.0865543502508379,132,East_Indian,IND,East,Indian,0.14519608980064,0.0867443766022083,132,-0.005200601433201,0.005200601433201
Fitness,Large,Fit,Fit - Large,0.254493274784033,0.0840185833545282,132,East_Indonesian,IDN,East,Indonesian,0.14519608980064,0.0867443766022083,132,0.109297184983393,0.109297184983393
Fitness,Large,Fit,Fit - Large,0.26116100586845,0.0841910466477484,132,East_Japanese,JPN,East,Japanese,0.14519608980064,0.0867443766022083,132,0.11596491606781,0.11596491606781
Fitness,Large,Fit,Fit - Large,0.252075882345647,0.0844930203070532,132,East_Korean,KOR,East,Korean,0.14519608980064,0.0867443766022083,132,0.106879792545007,0.106879792545007
Fitness,Large,Fit,Fit - Large,0.299429971282048,0.0835716061960838,132,East_Malaysian,MYS,East,Malaysian,0.14519608980064,0.0867443766022083,132,0.154233881481408,0.154233881481408
Fitness,Large,Fit,Fit - Large,0.165199879679215,0.0850284211916281,132,East_SaudiArabian,SAU,East,SaudiArabian,0.14519608980064,0.0867443766022083,132,0.020003789878575,0.020003789878575
Fitness,Large,Fit,Fit - Large,0.262546280086578,0.0837929540578273,132,East_Taiwanese,TWN,East,Taiwanese,0.14519608980064,0.0867443766022083,132,0.117350190285938,0.117350190285938
Fitness,Large,Fit,Fit - Large,0.0901128199751555,0.087308166952527,132,West_American,USA,West,American,0.14519608980064,0.0867443766022083,132,-0.0550832698254845,0.0550832698254845
Fitness,Large,Fit,Fit - Large,0.135303540277996,0.0868341638711047,132,West_Australian,AUS,West,Australian,0.14519608980064,0.0867443766022083,132,-0.00989254952264401,0.00989254952264401
Fitness,Large,Fit,Fit - Large,0.186710997572234,0.0860851217911588,132,West_Brazilian,BRA,West,Brazilian,0.14519608980064,0.0867443766022083,132,0.041514907771594,0.041514907771594
Fitness,Large,Fit,Fit - Large,0.123394687336586,0.0870321671989788,132,West_British,GBR,West,British,0.14519608980064,0.0867443766022083,132,-0.021801402464054,0.021801402464054
Fitness,Large,Fit,Fit - Large,0.188581361361606,0.085464338885304,132,West_Canadian,CAN,West,Canadian,0.14519608980064,0.0867443766022083,132,0.043385271560966,0.043385271560966
Fitness,Large,Fit,Fit - Large,0.203849518725902,0.0856679399883107,132,West_German,DEU,West,German,0.14519608980064,0.0867443766022083,132,0.058653428925262,0.058653428925262
Fitness,Large,Fit,Fit - Large,0.315187192249743,0.0832112863586645,132,West_Italian,ITA,West,Italian,0.14519608980064,0.0867443766022083,132,0.169991102449103,0.169991102449103
Fitness,Large,Fit,Fit - Large,0.247567821078027,0.0840895577560924,132,West_Polish,POL,West,Polish,0.14519608980064,0.0867443766022083,132,0.102371731277387,0.102371731277387
