Effect,UserCountry3,PersonaGroup,PersonaCluster,PersonaNationality,HumanEstimate,HumanSE,NeutralEstimate,NeutralSE,NeutralN,BaselineDifferenceFromHuman,BaselineAbsDifferenceFromHuman,BaselineSquaredDifferenceFromHuman
Age,ARE,East_Emirati,East,Emirati,0.44720424,0.012422584,-0.44518507522052,0.0714110033998376,160,-0.89238931522052,0.89238931522052,0.796358689919749
Age,AUS,West_Australian,West,Australian,0.50152598,0.002772133,-0.44518507522052,0.0714110033998376,160,-0.94671105522052,0.94671105522052,0.896261822076751
Age,BRA,West_Brazilian,West,Brazilian,0.471815331,0.001951296,-0.44518507522052,0.0714110033998376,160,-0.91700040622052,0.91700040622052,0.840889745008599
Age,CAN,West_Canadian,West,Canadian,0.50660609,0.002908917,-0.44518507522052,0.0714110033998376,160,-0.95179116522052,0.95179116522052,0.905906422191835
Age,CHN,East_Chinese,East,Chinese,0.353739928,0.009584414,-0.44518507522052,0.0714110033998376,160,-0.79892500322052,0.79892500322052,0.638281160770908
Age,DEU,West_German,West,German,0.478149581,0.00180123,-0.44518507522052,0.0714110033998376,160,-0.92333465622052,0.92333465622052,0.852546887377866
Age,ESP,West_Spanish,West,Spanish,0.511039962,0.003011661,-0.44518507522052,0.0714110033998376,160,-0.95622503722052,0.95622503722052,0.914366321807385
Age,GBR,West_British,West,British,0.502950369,0.001974038,-0.44518507522052,0.0714110033998376,160,-0.94813544422052,0.94813544422052,0.898960820587243
Age,HKG,East_HongKonger,East,HongKonger,0.376798765,0.007611679,-0.44518507522052,0.0714110033998376,160,-0.82198384022052,0.82198384022052,0.675657433583673
Age,IDN,East_Indonesian,East,Indonesian,0.402001004,0.008767082,-0.44518507522052,0.0714110033998376,160,-0.84718607922052,0.84718607922052,0.717724252825037
Age,IND,East_Indian,East,Indian,0.410941923,0.007022271,-0.44518507522052,0.0714110033998376,160,-0.85612699822052,0.85612699822052,0.732953437082078
Age,ITA,West_Italian,West,Italian,0.546147923,0.002916602,-0.44518507522052,0.0714110033998376,160,-0.99133299822052,0.99133299822052,0.982741113360886
Age,JPN,East_Japanese,East,Japanese,0.40006409,0.003101169,-0.44518507522052,0.0714110033998376,160,-0.84524916522052,0.84524916522052,0.714446151305986
Age,KOR,East_Korean,East,Korean,0.378117869,0.006940137,-0.44518507522052,0.0714110033998376,160,-0.82330294422052,0.82330294422052,0.677827737962177
Age,MYS,East_Malaysian,East,Malaysian,0.389846978,0.009549464,-0.44518507522052,0.0714110033998376,160,-0.83503205322052,0.83503205322052,0.697278529905677
Age,POL,West_Polish,West,Polish,0.467292833,0.002840937,-0.44518507522052,0.0714110033998376,160,-0.91247790822052,0.91247790822052,0.832615932990496
Age,RUS,West_Russian,West,Russian,0.449177027,0.002413175,-0.44518507522052,0.0714110033998376,160,-0.89436210222052,0.89436210222052,0.799883569888308
Age,SAU,East_SaudiArabian,East,SaudiArabian,0.373165006,0.011840697,-0.44518507522052,0.0714110033998376,160,-0.81835008122052,0.81835008122052,0.669696855433632
Age,TWN,East_Taiwanese,East,Taiwanese,0.345241775,0.006788459,-0.44518507522052,0.0714110033998376,160,-0.79042685022052,0.79042685022052,0.624774605549532
Age,USA,West_American,West,American,0.490754563,0.001318415,-0.44518507522052,0.0714110033998376,160,-0.93593963822052,0.93593963822052,0.875983006392358
Fitness,ARE,East_Emirati,East,Emirati,0.118927539,0.012939887,0.14519608980064,0.0867443766022083,132,0.02626855080064,0.02626855080064,0.000690036761165804
Fitness,AUS,West_Australian,West,Australian,0.191460181,0.002905516,0.14519608980064,0.0867443766022083,132,-0.04626409119936,0.04626409119936,0.0021403661345027
Fitness,BRA,West_Brazilian,West,Brazilian,0.088107013,0.002084424,0.14519608980064,0.0867443766022083,132,0.05708907680064,0.05708907680064,0.00325916268994937
Fitness,CAN,West_Canadian,West,Canadian,0.190256145,0.002435636,0.14519608980064,0.0867443766022083,132,-0.04506005519936,0.04506005519936,0.00203040857456937
Fitness,CHN,East_Chinese,East,Chinese,0.131550503,0.009964288,0.14519608980064,0.0867443766022083,132,0.01364558680064,0.01364558680064,0.0001862020391338
Fitness,DEU,West_German,West,German,0.14244207,0.001886138,0.14519608980064,0.0867443766022083,132,0.00275401980064,0.00275401980064,7.58462506231716e-06
Fitness,ESP,West_Spanish,West,Spanish,0.152242319,0.003026853,0.14519608980064,0.0867443766022083,132,-0.00704622919935999,0.00704622919935999,4.96493459299133e-05
Fitness,GBR,West_British,West,British,0.196541636,0.002110709,0.14519608980064,0.0867443766022083,132,-0.05134554619936,0.05134554619936,0.00263636511451061
Fitness,HKG,East_HongKonger,East,HongKonger,0.148795068,0.007915836,0.14519608980064,0.0867443766022083,132,-0.00359897819936,0.00359897819936,1.29526440794686e-05
Fitness,IDN,East_Indonesian,East,Indonesian,0.159530681,0.009269139,0.14519608980064,0.0867443766022083,132,-0.01433459119936,0.01433459119936,0.000205480504852769
Fitness,IND,East_Indian,East,Indian,0.12704069,0.007262828,0.14519608980064,0.0867443766022083,132,0.01815539980064,0.01815539980064,0.000329618541921078
Fitness,ITA,West_Italian,West,Italian,0.172611745,0.003230882,0.14519608980064,0.0867443766022083,132,-0.02741565519936,0.02741565519936,0.000751618150010196
Fitness,JPN,East_Japanese,East,Japanese,0.12445473,0.003166826,0.14519608980064,0.0867443766022083,132,0.02074135980064,0.02074135980064,0.000430204006379605
Fitness,KOR,East_Korean,East,Korean,0.106006478,0.006962088,0.14519608980064,0.0867443766022083,132,0.03918961180064,0.03918961180064,0.00153582567308486
Fitness,MYS,East_Malaysian,East,Malaysian,0.146604761,0.010493838,0.14519608980064,0.0867443766022083,132,-0.00140867119936,0.00140867119936,1.98435454790634e-06
Fitness,POL,West_Polish,West,Polish,0.152242478,0.003072617,0.14519608980064,0.0867443766022083,132,-0.00704638819935999,0.00704638819935999,4.96515866560797e-05
Fitness,RUS,West_Russian,West,Russian,0.156272962,0.002515582,0.14519608980064,0.0867443766022083,132,-0.01107687219936,0.01107687219936,0.000122697097720954
Fitness,SAU,East_SaudiArabian,East,SaudiArabian,0.08229366,0.012740378,0.14519608980064,0.0867443766022083,132,0.06290242980064,0.06290242980064,0.00395671567482444
Fitness,TWN,East_Taiwanese,East,Taiwanese,0.130986749,0.006983797,0.14519608980064,0.0867443766022083,132,0.01420934080064,0.01420934080064,0.000201905365988732
Fitness,USA,West_American,West,American,0.176191071,0.001020982,0.14519608980064,0.0867443766022083,132,-0.03099498119936,0.03099498119936,0.00096068885954868
Gender,ARE,East_Emirati,East,Emirati,0.117194536,0.012843878,-0.299842266960006,0.0679898797503153,198,-0.417036802960006,0.417036802960006,0.173919695023103
Gender,AUS,West_Australian,West,Australian,0.110603367,0.002791139,-0.299842266960006,0.0679898797503153,198,-0.410445633960006,0.410445633960006,0.168465618436831
Gender,BRA,West_Brazilian,West,Brazilian,0.146003101,0.002015738,-0.299842266960006,0.0679898797503153,198,-0.445845367960006,0.445845367960006,0.198778092131393
