PersonaCluster,Effect,ReferenceLevel,ComparedLevel,Contrast,ClusterEstimate,Personas,EffectRows
East,Intervention,Omission,Commission,Commission - Omission,0.0328713354707601,10,10
East,Relation to AV,Passengers,Pedestrians,Pedestrians - Passengers,0.609466916377431,10,10
East,Law,Illegal,Legal,Legal - Illegal,0.0676092544987159,10,10
East,Gender,Male,Female,Female - Male,-0.38991331316366,10,10
East,Fitness,Large,Fit,Fit - Large,0.20101999651131,10,10
East,Social Status,Low,High,High - Low,0.504898685575175,10,10
East,Age,Elderly,Young,Young - Elderly,-0.504844392962605,10,10
East,No. Characters,Less,More,More - Less,0.612106142254359,10,10
East,Species,Pets,Humans,Humans - Pets,-0.758186675321579,10,10
West,Intervention,Omission,Commission,Commission - Omission,-0.0399382827291592,10,10
West,Relation to AV,Passengers,Pedestrians,Pedestrians - Passengers,0.440315330206903,10,10
West,Law,Illegal,Legal,Legal - Illegal,0.0506426735218519,10,10
West,Gender,Male,Female,Female - Male,-0.451264657193104,10,10
West,Fitness,Large,Fit,Fit - Large,0.187531865729331,10,10
West,Social Status,Low,High,High - Low,0.513911925747845,10,10
West,Age,Elderly,Young,Young - Elderly,-0.553808744197982,10,10
West,No. Characters,Less,More,More - Less,0.66187356222525,10,10
West,Species,Pets,Humans,Humans - Pets,-0.818918540360244,10,10
