Effect,ReferenceLevel,ComparedLevel,Contrast,Estimate,SE,N,PersonaGroup,UserCountry3,PersonaCluster,PersonaNationality
Intervention,Omission,Commission,Commission - Omission,0.0614125063558628,0.0321535879197176,950,East_Chinese,CHN,East,Chinese
Relation to AV,Passengers,Pedestrians,Pedestrians - Passengers,0.738619426615863,0.0352177074394162,357,East_Chinese,CHN,East,Chinese
Law,Illegal,Legal,Legal - Illegal,0.128534704370182,0.0637492125951201,244,East_Chinese,CHN,East,Chinese
Gender,Male,Female,Female - Male,-0.267097325956295,0.0676073193547924,198,East_Chinese,CHN,East,Chinese
Fitness,Large,Fit,Fit - Large,0.186777435738472,0.0856168802521618,132,East_Chinese,CHN,East,Chinese
Social Status,Low,High,High - Low,0.543961515175907,0.0673514732281948,148,East_Chinese,CHN,East,Chinese
Age,Elderly,Young,Young - Elderly,-0.475618331034374,0.0699523228823962,160,East_Chinese,CHN,East,Chinese
No. Characters,Less,More,More - Less,0.652145894304694,0.0605368878795713,146,East_Chinese,CHN,East,Chinese
Species,Pets,Humans,Humans - Pets,-0.678998785252151,0.0565313025332075,166,East_Chinese,CHN,East,Chinese
Intervention,Omission,Commission,Commission - Omission,0.0602364933377202,0.0321336822008604,950,East_Emirati,ARE,East,Emirati
Relation to AV,Passengers,Pedestrians,Pedestrians - Passengers,0.676838317590988,0.039004567266544,357,East_Emirati,ARE,East,Emirati
Law,Illegal,Legal,Legal - Illegal,0.0437017994858623,0.0642210204999625,244,East_Emirati,ARE,East,Emirati
Gender,Male,Female,Female - Male,-0.450580571858796,0.0628515077023532,198,East_Emirati,ARE,East,Emirati
Fitness,Large,Fit,Fit - Large,0.190715225343869,0.0848109609072911,132,East_Emirati,ARE,East,Emirati
Social Status,Low,High,High - Low,0.471280459140113,0.0704850367363587,148,East_Emirati,ARE,East,Emirati
Age,Elderly,Young,Young - Elderly,-0.392315873159438,0.0731901202846177,160,East_Emirati,ARE,East,Emirati
No. Characters,Less,More,More - Less,0.611861759065436,0.0631666585429428,146,East_Emirati,ARE,East,Emirati
Species,Pets,Humans,Humans - Pets,-0.76480401066042,0.049537232942542,166,East_Emirati,ARE,East,Emirati
Intervention,Omission,Commission,Commission - Omission,0.0338302401136396,0.0323907906548337,950,East_HongKonger,HKG,East,HongKonger
Relation to AV,Passengers,Pedestrians,Pedestrians - Passengers,0.408633184075126,0.0484395044894517,357,East_HongKonger,HKG,East,HongKonger
Law,Illegal,Legal,Legal - Illegal,0.0745501285347055,0.0641035538247018,244,East_HongKonger,HKG,East,HongKonger
Gender,Male,Female,Female - Male,-0.311520284704742,0.0667809905605914,198,East_HongKonger,HKG,East,HongKonger
Fitness,Large,Fit,Fit - Large,-0.00219447838265152,0.0876722943392726,132,East_HongKonger,HKG,East,HongKonger
Social Status,Low,High,High - Low,0.573985146534448,0.0669546685657558,148,East_HongKonger,HKG,East,HongKonger
Age,Elderly,Young,Young - Elderly,-0.451036344216865,0.0711345104876055,160,East_HongKonger,HKG,East,HongKonger
No. Characters,Less,More,More - Less,0.645532992175066,0.0612863287192123,146,East_HongKonger,HKG,East,HongKonger
Species,Pets,Humans,Humans - Pets,-0.877327391395535,0.0372617231273032,166,East_HongKonger,HKG,East,HongKonger
Intervention,Omission,Commission,Commission - Omission,-0.00870252579677053,0.032443660448706,950,East_Indian,IND,East,Indian
