Effect,DiffNumberOFCharacters,ReferenceLevel,ComparedLevel,Contrast,Estimate,SE,N,PersonaGroup,UserCountry3,PersonaCluster,PersonaNationality
No. Characters,1,Less,More,More - Less,0.675226130382014,0.082402268488239,74,East_Chinese,CHN,East,Chinese
No. Characters,2,Less,More,More - Less,0.760326258107349,0.103304593251445,40,East_Chinese,CHN,East,Chinese
No. Characters,3,Less,More,More - Less,0.274108092140329,0.200707527480445,24,East_Chinese,CHN,East,Chinese
No. Characters,4,Less,More,More - Less,1,2.22514129655875e-17,8,East_Chinese,CHN,East,Chinese
No. Characters,1,Less,More,More - Less,0.715527645420449,0.0790955252085179,74,East_Emirati,ARE,East,Emirati
No. Characters,2,Less,More,More - Less,0.616488841576694,0.123354066652047,40,East_Emirati,ARE,East,Emirati
No. Characters,3,Less,More,More - Less,0.158474516880913,0.203661629225927,24,East_Emirati,ARE,East,Emirati
No. Characters,4,Less,More,More - Less,1,2.22514129655875e-17,8,East_Emirati,ARE,East,Emirati
No. Characters,1,Less,More,More - Less,0.639803960510464,0.0867724135192167,74,East_HongKonger,HKG,East,HongKonger
No. Characters,2,Less,More,More - Less,0.760326258107349,0.103304593251445,40,East_HongKonger,HKG,East,HongKonger
No. Characters,3,Less,More,More - Less,0.343488237295979,0.197241914972039,24,East_HongKonger,HKG,East,HongKonger
No. Characters,4,Less,More,More - Less,1,2.22514129655875e-17,8,East_HongKonger,HKG,East,HongKonger
No. Characters,1,Less,More,More - Less,0.715527645420449,0.0790955252085179,74,East_Indian,IND,East,Indian
No. Characters,2,Less,More,More - Less,0.616488841576694,0.123354066652047,40,East_Indian,IND,East,Indian
No. Characters,3,Less,More,More - Less,0.158474516880913,0.203661629225927,24,East_Indian,IND,East,Indian
No. Characters,4,Less,More,More - Less,1,2.22514129655875e-17,8,East_Indian,IND,East,Indian
No. Characters,1,Less,More,More - Less,0.591169900039776,0.089155535906786,74,East_Indonesian,IDN,East,Indonesian
No. Characters,2,Less,More,More - Less,0.760326258107349,0.103304593251445,40,East_Indonesian,IDN,East,Indonesian
No. Characters,3,Less,More,More - Less,0.158474516880913,0.203661629225927,24,East_Indonesian,IDN,East,Indonesian
No. Characters,4,Less,More,More - Less,1,2.22514129655875e-17,8,East_Indonesian,IDN,East,Indonesian
No. Characters,1,Less,More,More - Less,0.591169900039776,0.089155535906786,74,East_Japanese,JPN,East,Japanese
No. Characters,2,Less,More,More - Less,0.760326258107349,0.103304593251445,40,East_Japanese,JPN,East,Japanese
No. Characters,3,Less,More,More - Less,0.158474516880913,0.203661629225927,24,East_Japanese,JPN,East,Japanese
No. Characters,4,Less,More,More - Less,1,2.22514129655875e-17,8,East_Japanese,JPN,East,Japanese
No. Characters,1,Less,More,More - Less,0.675226130382014,0.082402268488239,74,East_Korean,KOR,East,Korean
No. Characters,2,Less,More,More - Less,0.616488841576694,0.123354066652047,40,East_Korean,KOR,East,Korean
No. Characters,3,Less,More,More - Less,0.343488237295979,0.197241914972039,24,East_Korean,KOR,East,Korean
No. Characters,4,Less,More,More - Less,1,2.22514129655875e-17,8,East_Korean,KOR,East,Korean
