PersonaGroup,UserCountry3,PersonaCluster,PersonaNationality,EuclideanDistanceFromNeutral,RMSEFromNeutral,MeanAbsoluteDifferenceFromNeutral,ComparedEffects
East_Taiwanese,TWN,East,Taiwanese,0.376859138,0.125619713,0.102369619,9
West_Brazilian,BRA,West,Brazilian,0.381997061,0.127332354,0.094838558,9
East_Indian,IND,East,Indian,0.383992005,0.127997335,0.111207662,9
West_American,USA,West,American,0.38591412,0.12863804,0.106208997,9
East_HongKonger,HKG,East,HongKonger,0.400618724,0.133539575,0.104819103,9
West_Australian,AUS,West,Australian,0.404438844,0.134812948,0.111217956,9
East_Malaysian,MYS,East,Malaysian,0.404995819,0.134998606,0.111903562,9
West_Polish,POL,West,Polish,0.415493522,0.138497841,0.098114499,9
West_Canadian,CAN,West,Canadian,0.415787997,0.138595999,0.118088563,9
East_Japanese,JPN,East,Japanese,0.418637539,0.139545846,0.105006697,9
West_Russian,RUS,West,Russian,0.425018579,0.14167286,0.120413215,9
West_Spanish,ESP,West,Spanish,0.444705071,0.148235024,0.120505124,9
East_Emirati,ARE,East,Emirati,0.445516415,0.148505472,0.121858427,9
East_Chinese,CHN,East,Chinese,0.44857801,0.149526003,0.110696092,9
East_Korean,KOR,East,Korean,0.472484115,0.157494705,0.138194735,9
East_Indonesian,IDN,East,Indonesian,0.48205541,0.160685137,0.142066364,9
West_Italian,ITA,West,Italian,0.504011485,0.168003828,0.128837234,9
East_SaudiArabian,SAU,East,SaudiArabian,0.534469889,0.17815663,0.151808935,9
West_British,GBR,West,British,0.545296963,0.181765654,0.152790919,9
West_German,DEU,West,German,0.559519263,0.186506421,0.154560073,9
