PersonaGroup,UserCountry3,PersonaCluster,PersonaNationality,Age,Fitness,Gender,Intervention,Law,No. Characters,Relation to AV,Social Status,Species
East_Chinese,CHN,East,Chinese,-0.467749168968981,0.154565414528294,-0.304538529921743,0.0586478946487668,0.0745501285347058,0.652145894304694,0.708335490819464,0.582666896632395,-0.737863578763957
East_Emirati,ARE,East,Emirati,-0.392315873159438,0.222225693247105,-0.39683827357955,0.0448740634131145,0.0565552699228804,0.552250710865482,0.637104990842965,0.41160184721533,-0.76480401066042
East_HongKonger,HKG,East,HongKonger,-0.372870994451352,0.062229564037703,-0.391531632883518,0.0351938174501236,0.0874035989717235,0.645532992175066,0.427558254117079,0.516633240939842,-0.877265647903975
East_Indian,IND,East,Indian,-0.529261250548681,0.139995488367439,-0.398143961796719,-0.0181786074949674,0.0616966580976874,0.55748711034488,0.547413844608421,0.469726019671999,-0.722321930171407
East_Indonesian,IDN,East,Indonesian,-0.595917387721825,0.242413766830217,-0.419603757814296,-0.0377364990248845,0.0231362467866331,0.538449564073066,0.556250642267029,0.389190024745673,-0.804220342300997
East_Japanese,JPN,East,Japanese,-0.478707034625279,0.277362449849819,-0.37169706810527,0.0340919700366109,0.0951156812339346,0.633397714721762,0.681837046997615,0.506024472682059,-0.737801835272397
East_Korean,KOR,East,Korean,-0.63624397516033,0.360741095369301,-0.402378114218814,0.00641097818651665,0.0488431876606693,0.633397714721762,0.582146052119024,0.57748058190626,-0.784091939453594
East_Malaysian,MYS,East,Malaysian,-0.435612641695031,0.357998406147651,-0.470882953120247,0.0326380964649652,0.0565552699228804,0.63457345111419,0.409207540075471,0.419585202850765,-0.813405609132998
East_SaudiArabian,SAU,East,SaudiArabian,-0.520636129491337,0.118228634868907,-0.482846448593386,0.0438972382831051,0.0488431876606693,0.627076822288489,0.719081763280888,0.602253494933344,-0.77398927749242
East_Taiwanese,TWN,East,Taiwanese,-0.465290363753398,0.250247536724342,-0.383271624940407,-0.00285381866808457,0.0642673521850913,0.612856894007289,0.582792103043134,0.383807454500469,-0.70540972366024
West_American,USA,West,American,-0.639014674019629,0.138390978740892,-0.444261198440512,-0.0742980661663038,0.0899742930591271,0.669158653258832,0.434435390526232,0.511687759904922,-0.756853121679595
West_Australian,AUS,West,Australian,-0.626783642764784,0.159283193826739,-0.383266041583185,-0.0951238093839555,0.0179948586118259,0.653321630697121,0.33473244649368,0.426379320696338,-0.749262362067868
West_Brazilian,BRA,West,Brazilian,-0.599448490320557,0.174412254209999,-0.370548479173709,-0.00670486232385091,0.0488431876606693,0.711756942504649,0.416146812085215,0.496554864982804,-0.817643992341052
West_British,GBR,West,British,-0.542724720306406,0.175739221803124,-0.59680854397782,-0.100143782846748,0.0359897172236512,0.555462323027204,0.219274941269908,0.500454018689215,-0.88412424286121
West_Canadian,CAN,West,Canadian,-0.537641848321952,0.285222927348052,-0.484150344230168,-0.108747533335395,0.0437017994858621,0.627076822288489,0.421810711062287,0.536706736075114,-0.807664817362998
West_German,DEU,West,German,-0.727789603181325,0.0856603190342862,-0.550356459819011,-0.0321723057474557,0.0231362467866331,0.723005850254407,0.4950128214422,0.539129668968537,-0.81432300426217
West_Italian,ITA,West,Italian,-0.592760628700667,0.376881160463088,-0.416401173720436,-0.0223161312451617,0.0231362467866331,0.609020153333896,0.340391565809169,0.506932537950899,-0.933643236462961
West_Polish,POL,West,Polish,-0.42228921726154,0.163362042054783,-0.328574741768831,-0.0129199712549418,0.0359897172236512,0.711756942504649,0.601052003514646,0.57578614652465,-0.811032371350056
West_Russian,RUS,West,Russian,-0.59434535713829,0.128123502576974,-0.389130078042294,0.0623916719608556,0.0745501285347055,0.634284084425307,0.621269175404816,0.523732577488345,-0.712083088142793
West_Spanish,ESP,West,Spanish,-0.577633408080025,0.288910040626593,-0.396676617058768,0.00601939426442044,0.0359897172236511,0.667650324216631,0.584019679459961,0.546010419076283,-0.812415819144998
