Effect,UserCountry3,PersonaGroup,PersonaCluster,PersonaNationality,HumanEstimate,HumanSE,NeutralEstimate,NeutralSE,NeutralN,BaselineDifferenceFromHuman,BaselineAbsDifferenceFromHuman,BaselineSquaredDifferenceFromHuman
Age,ARE,East_Emirati,East,Emirati,0.44720424,0.012422584,-0.422750889354498,0.0722428056158425,160,-0.869955129354498,0.869955129354498,0.756821927090202
Age,AUS,West_Australian,West,Australian,0.50152598,0.002772133,-0.422750889354498,0.0722428056158425,160,-0.924276869354498,0.924276869354498,0.854287731223752
Age,BRA,West_Brazilian,West,Brazilian,0.471815331,0.001951296,-0.422750889354498,0.0722428056158425,160,-0.894566220354498,0.894566220354498,0.800248722599332
Age,CAN,West_Canadian,West,Canadian,0.50660609,0.002908917,-0.422750889354498,0.0722428056158425,160,-0.929356979354498,0.929356979354498,0.863704395074917
Age,CHN,East_Chinese,East,Chinese,0.353739928,0.009584414,-0.422750889354498,0.0722428056158425,160,-0.776490817354498,0.776490817354498,0.602937989435856
Age,DEU,West_German,West,German,0.478149581,0.00180123,-0.422750889354498,0.0722428056158425,160,-0.900900470354498,0.900900470354498,0.811621657484956
Age,ESP,West_Spanish,West,Spanish,0.511039962,0.003011661,-0.422750889354498,0.0722428056158425,160,-0.933790851354498,0.933790851354498,0.871965354073358
Age,GBR,West_British,West,British,0.502950369,0.001974038,-0.422750889354498,0.0722428056158425,160,-0.925701258354498,0.925701258354498,0.856922819719101
Age,HKG,East_HongKonger,East,HongKonger,0.376798765,0.007611679,-0.422750889354498,0.0722428056158425,160,-0.799549654354498,0.799549654354498,0.639279649778397
Age,IDN,East_Indonesian,East,Indonesian,0.402001004,0.008767082,-0.422750889354498,0.0722428056158425,160,-0.824751893354498,0.824751893354498,0.680215685591829
Age,IND,East_Indian,East,Indian,0.410941923,0.007022271,-0.422750889354498,0.0722428056158425,160,-0.833692812354498,0.833692812354498,0.695043705371552
Age,ITA,West_Italian,West,Italian,0.546147923,0.002916602,-0.422750889354498,0.0722428056158425,160,-0.968898812354498,0.968898812354498,0.938764908581957
Age,JPN,East_Japanese,East,Japanese,0.40006409,0.003101169,-0.422750889354498,0.0722428056158425,160,-0.822814979354498,0.822814979354498,0.677024490250143
Age,KOR,East_Korean,East,Korean,0.378117869,0.006940137,-0.422750889354498,0.0722428056158425,160,-0.800868758354498,0.800868758354498,0.641390768108275
Age,MYS,East_Malaysian,East,Malaysian,0.389846978,0.009549464,-0.422750889354498,0.0722428056158425,160,-0.812597867354498,0.812597867354498,0.660315294029078
Age,POL,West_Polish,West,Polish,0.467292833,0.002840937,-0.422750889354498,0.0722428056158425,160,-0.890043722354498,0.890043722354498,0.792177827702651
Age,RUS,West_Russian,West,Russian,0.449177027,0.002413175,-0.422750889354498,0.0722428056158425,160,-0.871927916354498,0.871927916354498,0.760258291318296
Age,SAU,East_SaudiArabian,East,SaudiArabian,0.373165006,0.011840697,-0.422750889354498,0.0722428056158425,160,-0.795915895354498,0.795915895354498,0.633482112477952
Age,TWN,East_Taiwanese,East,Taiwanese,0.345241775,0.006788459,-0.422750889354498,0.0722428056158425,160,-0.767992664354498,0.767992664354498,0.589812732502321
Age,USA,West_American,West,American,0.490754563,0.001318415,-0.422750889354498,0.0722428056158425,160,-0.913505452354498,0.913505452354498,0.834492211481396
Fitness,ARE,East_Emirati,East,Emirati,0.118927539,0.012939887,0.220611961627802,0.0855555619323093,132,0.101684422627802,0.101684422627802,0.0103397218051495
Fitness,AUS,West_Australian,West,Australian,0.191460181,0.002905516,0.220611961627802,0.0855555619323093,132,0.029151780627802,0.029151780627802,0.000849826313771492
Fitness,BRA,West_Brazilian,West,Brazilian,0.088107013,0.002084424,0.220611961627802,0.0855555619323093,132,0.132504948627802,0.132504948627802,0.0175575614108564
Fitness,CAN,West_Canadian,West,Canadian,0.190256145,0.002435636,0.220611961627802,0.0855555619323093,132,0.030355816627802,0.030355816627802,0.000921475603140741
Fitness,CHN,East_Chinese,East,Chinese,0.131550503,0.009964288,0.220611961627802,0.0855555619323093,132,0.089061458627802,0.089061458627802,0.00793194341291168
Fitness,DEU,West_German,West,German,0.14244207,0.001886138,0.220611961627802,0.0855555619323093,132,0.078169891627802,0.078169891627802,0.00611053195710231
Fitness,ESP,West_Spanish,West,Spanish,0.152242319,0.003026853,0.220611961627802,0.0855555619323093,132,0.068369642627802,0.068369642627802,0.00467440803305336
Fitness,GBR,West_British,West,British,0.196541636,0.002110709,0.220611961627802,0.0855555619323093,132,0.024070325627802,0.024070325627802,0.000579380575828422
Fitness,HKG,East_HongKonger,East,HongKonger,0.148795068,0.007915836,0.220611961627802,0.0855555619323093,132,0.071816893627802,0.071816893627802,0.00515766621034703
Fitness,IDN,East_Indonesian,East,Indonesian,0.159530681,0.009269139,0.220611961627802,0.0855555619323093,132,0.061081280627802,0.061081280627802,0.0037309228431323
Fitness,IND,East_Indian,East,Indian,0.12704069,0.007262828,0.220611961627802,0.0855555619323093,132,0.093571271627802,0.093571271627802,0.0087555828740439
Fitness,ITA,West_Italian,West,Italian,0.172611745,0.003230882,0.220611961627802,0.0855555619323093,132,0.048000216627802,0.048000216627802,0.00230402079631592
Fitness,JPN,East_Japanese,East,Japanese,0.12445473,0.003166826,0.220611961627802,0.0855555619323093,132,0.096157231627802,0.096157231627802,0.00924621319432277
