PersonaGroup,UserCountry3,PersonaCluster,PersonaNationality,PersonaEuclideanDistanceToHuman,PersonaRMSEToHuman,PersonaMeanAbsoluteDifferenceToHuman,ComparedEffectsPersona,BaselineEuclideanDistanceToHuman,BaselineRMSEToHuman,BaselineMeanAbsoluteDifferenceToHuman,ComparedEffectsBaseline,EuclideanDistanceImprovement,RMSEImprovement,MeanAbsoluteDifferenceImprovement,H2SupportedByEuclidean,H2SupportedByRMSE
East_Taiwanese,TWN,East,Taiwanese,1.69883718792217,0.566279062640723,0.428614461901364,9,1.52502853958036,0.508342846526785,0.373160489130459,9,-0.173808648341812,-0.0579362161139375,-0.0554539727709049,FALSE,FALSE
East_Emirati,ARE,East,Emirati,1.77311815948542,0.591039386495139,0.415751739117836,9,1.56763564323706,0.522545214412355,0.363736986797125,9,-0.205482516248353,-0.0684941720827845,-0.0520147523207106,FALSE,FALSE
East_Indian,IND,East,Indian,1.75407758369277,0.584692527897591,0.41652454721187,9,1.5398903417503,0.513296780583433,0.361229531352681,9,-0.214187241942476,-0.0713957473141585,-0.0552950158591886,FALSE,FALSE
East_Japanese,JPN,East,Japanese,1.78827574728781,0.596091915762605,0.453703992109295,9,1.56612644839765,0.522042149465882,0.37209915224157,9,-0.222149298890168,-0.0740497662967226,-0.0816048398677252,FALSE,FALSE
East_HongKonger,HKG,East,HongKonger,1.78420348392453,0.59473449464151,0.428047515445698,9,1.53235960211461,0.510786534038202,0.370160903686014,9,-0.251843881809924,-0.0839479606033079,-0.0578866117596837,FALSE,FALSE
East_Malaysian,MYS,East,Malaysian,1.76037016366772,0.586790054555908,0.428238368083168,9,1.50658503006076,0.502195010020252,0.358361031908237,9,-0.253785133606968,-0.084595044535656,-0.069877336174931,FALSE,FALSE
East_Chinese,CHN,East,Chinese,1.88481809375131,0.628272697917105,0.467828507306228,9,1.62418874891678,0.541396249638928,0.395440669686014,9,-0.26062934483453,-0.0868764482781769,-0.0723878376202141,FALSE,FALSE
East_Indonesian,IDN,East,Indonesian,1.86437611286185,0.621458704287285,0.440746434332373,9,1.52567264495999,0.508557548319995,0.358805398130459,9,-0.338703467901868,-0.112901155967289,-0.081941036201914,FALSE,FALSE
East_SaudiArabian,SAU,East,SaudiArabian,1.88322607799677,0.627742025998923,0.466607348063467,9,1.54429821201295,0.514766070670982,0.359676287908237,9,-0.338927865983823,-0.112975955327941,-0.106931060155231,FALSE,FALSE
East_Korean,KOR,East,Korean,1.99770118703112,0.665900395677042,0.507856118233544,9,1.64358150825323,0.547860502751078,0.385850685463792,9,-0.354119678777891,-0.118039892925964,-0.122005432769752,FALSE,FALSE
West_Polish,POL,West,Polish,1.90382749414178,0.634609164713926,0.469517547112272,9,1.63529368964189,0.545097896547298,0.384227846352681,9,-0.268533804499884,-0.0895112681666278,-0.0852897007595908,FALSE,FALSE
West_Australian,AUS,West,Australian,1.87368203777335,0.624560679257784,0.433044486472041,9,1.60253346454677,0.534177821515589,0.360673914130459,9,-0.271148573226584,-0.0903828577421947,-0.072370572341582,FALSE,FALSE
West_Russian,RUS,West,Russian,1.87167572359194,0.623891907863979,0.452315001618812,9,1.59297646177374,0.530992153924579,0.37463182724157,9,-0.2786992618182,-0.0928997539393999,-0.0776831743772423,FALSE,FALSE
West_American,USA,West,American,1.90335018407901,0.634450061359669,0.452328031799556,9,1.59488502675361,0.531628342251204,0.360044773797125,9,-0.308465157325393,-0.102821719108464,-0.0922832580024309,FALSE,FALSE
West_Canadian,CAN,West,Canadian,1.93714375337141,0.645714584457137,0.468898083504288,9,1.62803711214825,0.54267903738275,0.36421546924157,9,-0.309106641223161,-0.103035547074387,-0.104682614262718,FALSE,FALSE
West_Brazilian,BRA,West,Brazilian,1.76670609138282,0.588902030460941,0.446838335253463,9,1.45570754521468,0.485235848404892,0.366705324352681,9,-0.310998546168149,-0.10366618205605,-0.080133010900782,FALSE,FALSE
West_Spanish,ESP,West,Spanish,1.98413433274726,0.661378110915753,0.494038069686132,9,1.63530171410682,0.545100571368941,0.382023538130459,9,-0.348832618640436,-0.116277539546812,-0.112014531555673,FALSE,FALSE
West_British,GBR,West,British,1.97990178176117,0.659967260587058,0.44178020621686,9,1.60248762836698,0.534162542788993,0.357650151352681,9,-0.377414153394194,-0.125804717798064,-0.0841300548641786,FALSE,FALSE
West_Italian,ITA,West,Italian,2.10375226977577,0.701250756591924,0.489182269211072,9,1.69660941500964,0.56553647166988,0.383400721574903,9,-0.407142854766134,-0.135714284922045,-0.105781547636168,FALSE,FALSE
West_German,DEU,West,German,2.09376075588939,0.697920251963132,0.517159153761576,9,1.63961795680254,0.546539318934181,0.379970167574903,9,-0.454142799086852,-0.151380933028951,-0.137188986186673,FALSE,FALSE
