PersonaGroup,UserCountry3,PersonaCluster,PersonaNationality
East_Chinese,CHN,East,Chinese
East_Emirati,ARE,East,Emirati
East_HongKonger,HKG,East,HongKonger
East_Indian,IND,East,Indian
East_Indonesian,IDN,East,Indonesian
East_Japanese,JPN,East,Japanese
East_Korean,KOR,East,Korean
East_Malaysian,MYS,East,Malaysian
East_SaudiArabian,SAU,East,SaudiArabian
East_Taiwanese,TWN,East,Taiwanese
Neutral,,Neutral,Neutral
West_American,USA,West,American
West_Australian,AUS,West,Australian
West_Brazilian,BRA,West,Brazilian
West_British,GBR,West,British
West_Canadian,CAN,West,Canadian
West_German,DEU,West,German
West_Italian,ITA,West,Italian
West_Polish,POL,West,Polish
West_Russian,RUS,West,Russian
West_Spanish,ESP,West,Spanish
