Effect,DiffNumberOFCharacters,ReferenceLevel,ComparedLevel,Contrast,Estimate,SE,N,PersonaGroup,UserCountry3,PersonaCluster,PersonaNationality
No. Characters,1,Less,More,More - Less,0.67522613,0.082402268,74,East_Chinese,CHN,East,Chinese
No. Characters,2,Less,More,More - Less,0.760326258,0.103304593,40,East_Chinese,CHN,East,Chinese
No. Characters,3,Less,More,More - Less,0.274108092,0.200707527,24,East_Chinese,CHN,East,Chinese
No. Characters,4,Less,More,More - Less,1,2.23E-17,8,East_Chinese,CHN,East,Chinese
No. Characters,1,Less,More,More - Less,0.5911699,0.089155536,74,East_Emirati,ARE,East,Emirati
No. Characters,2,Less,More,More - Less,0.616488842,0.123354067,40,East_Emirati,ARE,East,Emirati
No. Characters,3,Less,More,More - Less,0.158474517,0.203661629,24,East_Emirati,ARE,East,Emirati
No. Characters,4,Less,More,More - Less,1,2.23E-17,8,East_Emirati,ARE,East,Emirati
No. Characters,1,Less,More,More - Less,0.639803961,0.086772414,74,East_HongKonger,HKG,East,HongKonger
No. Characters,2,Less,More,More - Less,0.760326258,0.103304593,40,East_HongKonger,HKG,East,HongKonger
No. Characters,3,Less,More,More - Less,0.343488237,0.197241915,24,East_HongKonger,HKG,East,HongKonger
No. Characters,4,Less,More,More - Less,1,2.23E-17,8,East_HongKonger,HKG,East,HongKonger
No. Characters,1,Less,More,More - Less,0.609598311,0.092782913,74,East_Indian,IND,East,Indian
No. Characters,2,Less,More,More - Less,0.616488842,0.123354067,40,East_Indian,IND,East,Indian
No. Characters,3,Less,More,More - Less,0.158474517,0.203661629,24,East_Indian,IND,East,Indian
No. Characters,4,Less,More,More - Less,1,2.23E-17,8,East_Indian,IND,East,Indian
No. Characters,1,Less,More,More - Less,0.485240566,0.100482223,74,East_Indonesian,IDN,East,Indonesian
No. Characters,2,Less,More,More - Less,0.760326258,0.103304593,40,East_Indonesian,IDN,East,Indonesian
No. Characters,3,Less,More,More - Less,0.158474517,0.203661629,24,East_Indonesian,IDN,East,Indonesian
No. Characters,4,Less,More,More - Less,1,2.23E-17,8,East_Indonesian,IDN,East,Indonesian
No. Characters,1,Less,More,More - Less,0.67522613,0.082402268,74,East_Japanese,JPN,East,Japanese
No. Characters,2,Less,More,More - Less,0.760326258,0.103304593,40,East_Japanese,JPN,East,Japanese
No. Characters,3,Less,More,More - Less,0.158474517,0.203661629,24,East_Japanese,JPN,East,Japanese
No. Characters,4,Less,More,More - Less,1,2.23E-17,8,East_Japanese,JPN,East,Japanese
No. Characters,1,Less,More,More - Less,0.67522613,0.082402268,74,East_Korean,KOR,East,Korean
No. Characters,2,Less,More,More - Less,0.760326258,0.103304593,40,East_Korean,KOR,East,Korean
No. Characters,3,Less,More,More - Less,0.158474517,0.203661629,24,East_Korean,KOR,East,Korean
No. Characters,4,Less,More,More - Less,1,2.23E-17,8,East_Korean,KOR,East,Korean
No. Characters,1,Less,More,More - Less,0.764161706,0.074537473,74,East_Malaysian,MYS,East,Malaysian
No. Characters,2,Less,More,More - Less,0.616488842,0.123354067,40,East_Malaysian,MYS,East,Malaysian
No. Characters,3,Less,More,More - Less,0.158474517,0.203661629,24,East_Malaysian,MYS,East,Malaysian
No. Characters,4,Less,More,More - Less,1,2.23E-17,8,East_Malaysian,MYS,East,Malaysian
No. Characters,1,Less,More,More - Less,0.715527645,0.079095525,74,East_SaudiArabian,SAU,East,SaudiArabian
No. Characters,2,Less,More,More - Less,0.670427873,0.116925208,40,East_SaudiArabian,SAU,East,SaudiArabian
No. Characters,3,Less,More,More - Less,0.158474517,0.203661629,24,East_SaudiArabian,SAU,East,SaudiArabian
No. Characters,4,Less,More,More - Less,1,2.23E-17,8,East_SaudiArabian,SAU,East,SaudiArabian
No. Characters,1,Less,More,More - Less,0.715527645,0.079095525,74,East_Taiwanese,TWN,East,Taiwanese
No. Characters,2,Less,More,More - Less,0.619256926,0.125671539,40,East_Taiwanese,TWN,East,Taiwanese
No. Characters,3,Less,More,More - Less,0.158474517,0.203661629,24,East_Taiwanese,TWN,East,Taiwanese
No. Characters,4,Less,More,More - Less,1,2.23E-17,8,East_Taiwanese,TWN,East,Taiwanese
No. Characters,1,Less,More,More - Less,0.73689263,0.075671892,74,Neutral,,Neutral,Neutral
No. Characters,2,Less,More,More - Less,0.672157925,0.118302648,40,Neutral,,Neutral,Neutral
No. Characters,3,Less,More,More - Less,0.459121813,0.188419192,24,Neutral,,Neutral,Neutral
No. Characters,4,Less,More,More - Less,1,2.23E-17,8,Neutral,,Neutral,Neutral
No. Characters,1,Less,More,More - Less,0.764161706,0.074537473,74,West_American,USA,West,American
No. Characters,2,Less,More,More - Less,0.672157925,0.118302648,40,West_American,USA,West,American
No. Characters,3,Less,More,More - Less,0.274108092,0.200707527,24,West_American,USA,West,American
No. Characters,4,Less,More,More - Less,1,2.23E-17,8,West_American,USA,West,American
No. Characters,1,Less,More,More - Less,0.764161706,0.074537473,74,West_Australian,AUS,West,Australian
No. Characters,2,Less,More,More - Less,0.616488842,0.123354067,40,West_Australian,AUS,West,Australian
No. Characters,3,Less,More,More - Less,0.274108092,0.200707527,24,West_Australian,AUS,West,Australian
No. Characters,4,Less,More,More - Less,1,2.23E-17,8,West_Australian,AUS,West,Australian
No. Characters,1,Less,More,More - Less,0.799583876,0.068712897,74,West_Brazilian,BRA,West,Brazilian
No. Characters,2,Less,More,More - Less,0.760326258,0.103304593,40,West_Brazilian,BRA,West,Brazilian
No. Characters,3,Less,More,More - Less,0.274108092,0.200707527,24,West_Brazilian,BRA,West,Brazilian
No. Characters,4,Less,More,More - Less,1,2.23E-17,8,West_Brazilian,BRA,West,Brazilian
No. Characters,1,Less,More,More - Less,0.658232371,0.089098248,74,West_British,GBR,West,British
No. Characters,2,Less,More,More - Less,0.528320509,0.133687825,40,West_British,GBR,West,British
No. Characters,3,Less,More,More - Less,0.158474517,0.203661629,24,West_British,GBR,West,British
No. Characters,4,Less,More,More - Less,1,2.23E-17,8,West_British,GBR,West,British
No. Characters,1,Less,More,More - Less,0.799583876,0.068712897,74,West_Canadian,CAN,West,Canadian
No. Characters,2,Less,More,More - Less,0.526590456,0.131778724,40,West_Canadian,CAN,West,Canadian
No. Characters,3,Less,More,More - Less,0.158474517,0.203661629,24,West_Canadian,CAN,West,Canadian
No. Characters,4,Less,More,More - Less,1,2.23E-17,8,West_Canadian,CAN,West,Canadian
No. Characters,1,Less,More,More - Less,0.799583876,0.068712897,74,West_German,DEU,West,German
No. Characters,2,Less,More,More - Less,0.760326258,0.103304593,40,West_German,DEU,West,German
No. Characters,3,Less,More,More - Less,0.343488237,0.197241915,24,West_German,DEU,West,German
No. Characters,4,Less,More,More - Less,1,2.23E-17,8,West_German,DEU,West,German
No. Characters,1,Less,More,More - Less,0.569296796,0.095392523,74,West_Italian,ITA,West,Italian
No. Characters,2,Less,More,More - Less,0.760326258,0.103304593,40,West_Italian,ITA,West,Italian
No. Characters,3,Less,More,More - Less,0.343488237,0.197241915,24,West_Italian,ITA,West,Italian
No. Characters,4,Less,More,More - Less,1,2.23E-17,8,West_Italian,ITA,West,Italian
No. Characters,1,Less,More,More - Less,0.799583876,0.068712897,74,West_Polish,POL,West,Polish
No. Characters,2,Less,More,More - Less,0.760326258,0.103304593,40,West_Polish,POL,West,Polish
No. Characters,3,Less,More,More - Less,0.274108092,0.200707527,24,West_Polish,POL,West,Polish
No. Characters,4,Less,More,More - Less,1,2.23E-17,8,West_Polish,POL,West,Polish
No. Characters,1,Less,More,More - Less,0.639803961,0.086772414,74,West_Russian,RUS,West,Russian
No. Characters,2,Less,More,More - Less,0.760326258,0.103304593,40,West_Russian,RUS,West,Russian
No. Characters,3,Less,More,More - Less,0.274108092,0.200707527,24,West_Russian,RUS,West,Russian
No. Characters,4,Less,More,More - Less,1,2.23E-17,8,West_Russian,RUS,West,Russian
No. Characters,1,Less,More,More - Less,0.799583876,0.068712897,74,West_Spanish,ESP,West,Spanish
No. Characters,2,Less,More,More - Less,0.670427873,0.116925208,40,West_Spanish,ESP,West,Spanish
No. Characters,3,Less,More,More - Less,0.158474517,0.203661629,24,West_Spanish,ESP,West,Spanish
No. Characters,4,Less,More,More - Less,1,2.23E-17,8,West_Spanish,ESP,West,Spanish
