Effect,ReferenceLevel,ComparedLevel,Contrast,Estimate,SE,N,PersonaGroup,UserCountry3,PersonaCluster,PersonaNationality,NeutralEstimate,NeutralSE,NeutralN,DifferenceFromNeutral,AbsDifferenceFromNeutral
Age,Elderly,Young,Young - Elderly,0.331302522590647,0.0750823651931768,160,East_Chinese,CHN,East,Chinese,0.23978344594345,0.0757710248286196,160,0.091519076647197,0.091519076647197
Age,Elderly,Young,Young - Elderly,0.282693152518728,0.0758481737270565,160,East_Emirati,ARE,East,Emirati,0.23978344594345,0.0757710248286196,160,0.042909706575278,0.042909706575278
Age,Elderly,Young,Young - Elderly,0.102047059324507,0.0793039686589205,160,East_HongKonger,HKG,East,HongKonger,0.23978344594345,0.0757710248286196,160,-0.137736386618943,0.137736386618943
Age,Elderly,Young,Young - Elderly,0.245219193809168,0.0766986684107358,160,East_Indian,IND,East,Indian,0.23978344594345,0.0757710248286196,160,0.00543574786571802,0.00543574786571802
Age,Elderly,Young,Young - Elderly,0.234177290869961,0.0771547664193637,160,East_Indonesian,IDN,East,Indonesian,0.23978344594345,0.0757710248286196,160,-0.00560615507348899,0.00560615507348899
Age,Elderly,Young,Young - Elderly,0.261839581147487,0.0762530692739371,160,East_Japanese,JPN,East,Japanese,0.23978344594345,0.0757710248286196,160,0.022056135204037,0.022056135204037
Age,Elderly,Young,Young - Elderly,0.230762412337517,0.0767965074493589,160,East_Korean,KOR,East,Korean,0.23978344594345,0.0757710248286196,160,-0.00902103360593301,0.00902103360593301
Age,Elderly,Young,Young - Elderly,0.0832677728517662,0.0793768420235379,160,East_Malaysian,MYS,East,Malaysian,0.23978344594345,0.0757710248286196,160,-0.156515673091684,0.156515673091684
Age,Elderly,Young,Young - Elderly,0.306722661564437,0.074266291922825,160,East_SaudiArabian,SAU,East,SaudiArabian,0.23978344594345,0.0757710248286196,160,0.066939215620987,0.066939215620987
Age,Elderly,Young,Young - Elderly,0.298300587497275,0.0755347856534886,160,East_Taiwanese,TWN,East,Taiwanese,0.23978344594345,0.0757710248286196,160,0.058517141553825,0.058517141553825
Age,Elderly,Young,Young - Elderly,0.327437015014074,0.0747916802244698,160,West_American,USA,West,American,0.23978344594345,0.0757710248286196,160,0.087653569070624,0.087653569070624
Age,Elderly,Young,Young - Elderly,0.283785830752438,0.0762020678760205,160,West_Australian,AUS,West,Australian,0.23978344594345,0.0757710248286196,160,0.044002384808988,0.044002384808988
Age,Elderly,Young,Young - Elderly,0.319617012239045,0.075190670962617,160,West_Brazilian,BRA,West,Brazilian,0.23978344594345,0.0757710248286196,160,0.079833566295595,0.079833566295595
Age,Elderly,Young,Young - Elderly,0.314281883532204,0.0753633839789471,160,West_British,GBR,West,British,0.23978344594345,0.0757710248286196,160,0.074498437588754,0.074498437588754
Age,Elderly,Young,Young - Elderly,0.408731101402049,0.0723988647710932,160,West_Canadian,CAN,West,Canadian,0.23978344594345,0.0757710248286196,160,0.168947655458599,0.168947655458599
Age,Elderly,Young,Young - Elderly,0.246725658013222,0.076651705410251,160,West_German,DEU,West,German,0.23978344594345,0.0757710248286196,160,0.006942212069772,0.006942212069772
Age,Elderly,Young,Young - Elderly,0.199772098515248,0.0776625985835443,160,West_Italian,ITA,West,Italian,0.23978344594345,0.0757710248286196,160,-0.040011347428202,0.040011347428202
Age,Elderly,Young,Young - Elderly,0.0953187877278173,0.0781291979014445,160,West_Polish,POL,West,Polish,0.23978344594345,0.0757710248286196,160,-0.144464658215633,0.144464658215633
Age,Elderly,Young,Young - Elderly,0.372471365433821,0.0736713742459547,160,West_Russian,RUS,West,Russian,0.23978344594345,0.0757710248286196,160,0.132687919490371,0.132687919490371
Age,Elderly,Young,Young - Elderly,0.162241552660729,0.0785427566007652,160,West_Spanish,ESP,West,Spanish,0.23978344594345,0.0757710248286196,160,-0.077541893282721,0.077541893282721
Fitness,Large,Fit,Fit - Large,-0.108115009963558,0.0859943478248199,132,East_Chinese,CHN,East,Chinese,-0.15534725330441,0.0842615914118201,132,0.047232243340852,0.047232243340852
Fitness,Large,Fit,Fit - Large,-0.159452177377357,0.0849482560227423,132,East_Emirati,ARE,East,Emirati,-0.15534725330441,0.0842615914118201,132,-0.00410492407294702,0.00410492407294702
Fitness,Large,Fit,Fit - Large,0.0798009209243061,0.0872779506612623,132,East_HongKonger,HKG,East,HongKonger,-0.15534725330441,0.0842615914118201,132,0.235148174228716,0.235148174228716
Fitness,Large,Fit,Fit - Large,0.0261861002224024,0.0868406742159569,132,East_Indian,IND,East,Indian,-0.15534725330441,0.0842615914118201,132,0.181533353526812,0.181533353526812
Fitness,Large,Fit,Fit - Large,0.0094097072184382,0.0871154249490929,132,East_Indonesian,IDN,East,Indonesian,-0.15534725330441,0.0842615914118201,132,0.164756960522848,0.164756960522848
Fitness,Large,Fit,Fit - Large,-0.0745831234089451,0.085512193464655,132,East_Japanese,JPN,East,Japanese,-0.15534725330441,0.0842615914118201,132,0.0807641298954649,0.0807641298954649
Fitness,Large,Fit,Fit - Large,-0.0723612139245179,0.0866547970992819,132,East_Korean,KOR,East,Korean,-0.15534725330441,0.0842615914118201,132,0.0829860393798921,0.0829860393798921
Fitness,Large,Fit,Fit - Large,-0.0688816176043098,0.0857390602017553,132,East_Malaysian,MYS,East,Malaysian,-0.15534725330441,0.0842615914118201,132,0.0864656357001002,0.0864656357001002
Fitness,Large,Fit,Fit - Large,-0.0820085133528151,0.0861424877899947,132,East_SaudiArabian,SAU,East,SaudiArabian,-0.15534725330441,0.0842615914118201,132,0.0733387399515949,0.0733387399515949
Fitness,Large,Fit,Fit - Large,-0.0897041543994721,0.086954467710134,132,East_Taiwanese,TWN,East,Taiwanese,-0.15534725330441,0.0842615914118201,132,0.0656430989049379,0.0656430989049379
Fitness,Large,Fit,Fit - Large,-0.0201232248996108,0.0866301055261215,132,West_American,USA,West,American,-0.15534725330441,0.0842615914118201,132,0.135224028404799,0.135224028404799
Fitness,Large,Fit,Fit - Large,-0.0909225895348891,0.0867663833598468,132,West_Australian,AUS,West,Australian,-0.15534725330441,0.0842615914118201,132,0.0644246637695209,0.0644246637695209
Fitness,Large,Fit,Fit - Large,-0.126905770119148,0.0863420698324615,132,West_Brazilian,BRA,West,Brazilian,-0.15534725330441,0.0842615914118201,132,0.028441483185262,0.028441483185262
Fitness,Large,Fit,Fit - Large,-0.0177321275675615,0.0869221756943944,132,West_British,GBR,West,British,-0.15534725330441,0.0842615914118201,132,0.137615125736848,0.137615125736848
Fitness,Large,Fit,Fit - Large,0.0323498956623323,0.0868846665971714,132,West_Canadian,CAN,West,Canadian,-0.15534725330441,0.0842615914118201,132,0.187697148966742,0.187697148966742
Fitness,Large,Fit,Fit - Large,-0.17212940371023,0.0855336281915792,132,West_German,DEU,West,German,-0.15534725330441,0.0842615914118201,132,-0.01678215040582,0.01678215040582
Fitness,Large,Fit,Fit - Large,-0.0887022949076665,0.085873272493581,132,West_Italian,ITA,West,Italian,-0.15534725330441,0.0842615914118201,132,0.0666449583967435,0.0666449583967435
Fitness,Large,Fit,Fit - Large,-0.0937647115394433,0.0862152402223435,132,West_Polish,POL,West,Polish,-0.15534725330441,0.0842615914118201,132,0.0615825417649667,0.0615825417649667
Fitness,Large,Fit,Fit - Large,-0.0322360690494776,0.0865450981550739,132,West_Russian,RUS,West,Russian,-0.15534725330441,0.0842615914118201,132,0.123111184254932,0.123111184254932
Fitness,Large,Fit,Fit - Large,0.111734687013432,0.0865477778411603,132,West_Spanish,ESP,West,Spanish,-0.15534725330441,0.0842615914118201,132,0.267081940317842,0.267081940317842
Gender,Male,Female,Female - Male,0.188393881687234,0.0690542159055535,198,East_Chinese,CHN,East,Chinese,0.083085439076499,0.0688425988723143,198,0.105308442610735,0.105308442610735
Gender,Male,Female,Female - Male,0.281716250876019,0.0662789675159156,198,East_Emirati,ARE,East,Emirati,0.083085439076499,0.0688425988723143,198,0.19863081179952,0.19863081179952
Gender,Male,Female,Female - Male,0.132583627372186,0.069513827095815,198,East_HongKonger,HKG,East,HongKonger,0.083085439076499,0.0688425988723143,198,0.049498188295687,0.049498188295687
Gender,Male,Female,Female - Male,0.202725492955609,0.0681588710276493,198,East_Indian,IND,East,Indian,0.083085439076499,0.0688425988723143,198,0.11964005387911,0.11964005387911
Gender,Male,Female,Female - Male,0.341630428756383,0.0664892854065464,198,East_Indonesian,IDN,East,Indonesian,0.083085439076499,0.0688425988723143,198,0.258544989679884,0.258544989679884
Gender,Male,Female,Female - Male,0.213025186880439,0.0686006624032817,198,East_Japanese,JPN,East,Japanese,0.083085439076499,0.0688425988723143,198,0.12993974780394,0.12993974780394
Gender,Male,Female,Female - Male,0.330336957168423,0.0663834816962692,198,East_Korean,KOR,East,Korean,0.083085439076499,0.0688425988723143,198,0.247251518091924,0.247251518091924
Gender,Male,Female,Female - Male,0.130435695044504,0.0690538039277787,198,East_Malaysian,MYS,East,Malaysian,0.083085439076499,0.0688425988723143,198,0.047350255968005,0.047350255968005
Gender,Male,Female,Female - Male,0.198470860129607,0.0682491444665786,198,East_SaudiArabian,SAU,East,SaudiArabian,0.083085439076499,0.0688425988723143,198,0.115385421053108,0.115385421053108
Gender,Male,Female,Female - Male,0.179094205187549,0.0690986582805296,198,East_Taiwanese,TWN,East,Taiwanese,0.083085439076499,0.0688425988723143,198,0.09600876611105,0.09600876611105
Gender,Male,Female,Female - Male,0.3183336018146,0.0659220906388424,198,West_American,USA,West,American,0.083085439076499,0.0688425988723143,198,0.235248162738101,0.235248162738101
Gender,Male,Female,Female - Male,0.163067737557315,0.068496570572475,198,West_Australian,AUS,West,Australian,0.083085439076499,0.0688425988723143,198,0.079982298480816,0.079982298480816
Gender,Male,Female,Female - Male,0.206242071310124,0.0683767024294238,198,West_Brazilian,BRA,West,Brazilian,0.083085439076499,0.0688425988723143,198,0.123156632233625,0.123156632233625
Gender,Male,Female,Female - Male,0.261609809577956,0.0669869265044363,198,West_British,GBR,West,British,0.083085439076499,0.0688425988723143,198,0.178524370501457,0.178524370501457
Gender,Male,Female,Female - Male,0.291517802233521,0.0668631908888414,198,West_Canadian,CAN,West,Canadian,0.083085439076499,0.0688425988723143,198,0.208432363157022,0.208432363157022
Gender,Male,Female,Female - Male,0.0993367360528286,0.0695793096762978,198,West_German,DEU,West,German,0.083085439076499,0.0688425988723143,198,0.0162512969763296,0.0162512969763296
Gender,Male,Female,Female - Male,0.151299330731803,0.0693957907760722,198,West_Italian,ITA,West,Italian,0.083085439076499,0.0688425988723143,198,0.068213891655304,0.068213891655304
Gender,Male,Female,Female - Male,0.207235623252515,0.0685686786797578,198,West_Polish,POL,West,Polish,0.083085439076499,0.0688425988723143,198,0.124150184176016,0.124150184176016
Gender,Male,Female,Female - Male,0.173414540275406,0.0694700104357107,198,West_Russian,RUS,West,Russian,0.083085439076499,0.0688425988723143,198,0.090329101198907,0.090329101198907
Gender,Male,Female,Female - Male,0.249816693968509,0.0684795634714401,198,West_Spanish,ESP,West,Spanish,0.083085439076499,0.0688425988723143,198,0.16673125489201,0.16673125489201
Intervention,Omission,Commission,Commission - Omission,0.317510876605191,0.0308010908804509,950,East_Chinese,CHN,East,Chinese,0.186344012407312,0.0316017869908844,950,0.131166864197879,0.131166864197879
Intervention,Omission,Commission,Commission - Omission,0.260072773634943,0.031161733295288,950,East_Emirati,ARE,East,Emirati,0.186344012407312,0.0316017869908844,950,0.073728761227631,0.073728761227631
Intervention,Omission,Commission,Commission - Omission,0.226917341184596,0.0316913070404427,950,East_HongKonger,HKG,East,HongKonger,0.186344012407312,0.0316017869908844,950,0.040573328777284,0.040573328777284
Intervention,Omission,Commission,Commission - Omission,0.277142764615818,0.0310865567194252,950,East_Indian,IND,East,Indian,0.186344012407312,0.0316017869908844,950,0.090798752208506,0.090798752208506
Intervention,Omission,Commission,Commission - Omission,0.237955067446849,0.0315356345499165,950,East_Indonesian,IDN,East,Indonesian,0.186344012407312,0.0316017869908844,950,0.051611055039537,0.051611055039537
Intervention,Omission,Commission,Commission - Omission,0.302415988388453,0.0308533724086096,950,East_Japanese,JPN,East,Japanese,0.186344012407312,0.0316017869908844,950,0.116071975981141,0.116071975981141
Intervention,Omission,Commission,Commission - Omission,0.27736803409958,0.031134577554448,950,East_Korean,KOR,East,Korean,0.186344012407312,0.0316017869908844,950,0.091024021692268,0.091024021692268
