PersonaCluster,Effect,HumanClusterEstimate,Countries,EffectRows
East,Intervention,0.0585233162,10,10
East,Relation to AV,0.1089376245,10,10
East,Law,0.377242736,10,10
East,Gender,0.0963594083,10,10
East,Fitness,0.1276190859,10,10
East,Social Status,0.3245147491,10,10
East,Age,0.3877121578,10,10
East,No. Characters,0.4440270055,10,10
East,Species,0.5907534572,10,10
West,Intervention,0.0614002601,10,10
West,Relation to AV,0.0768696773,10,10
West,Law,0.3565635872,10,10
West,Gender,0.105174625,10,10
West,Fitness,0.161836762,10,10
West,Social Status,0.3415965436,10,10
West,Age,0.4925459659,10,10
West,No. Characters,0.5047745263,10,10
West,Species,0.5884060192,10,10
