Effect,ReferenceLevel,ComparedLevel,Contrast,Estimate,SE,N,PersonaGroup,UserCountry3,PersonaCluster,PersonaNationality,NeutralEstimate,NeutralSE,NeutralN,DifferenceFromNeutral,AbsDifferenceFromNeutral
Age,Elderly,Young,Young - Elderly,0.088463911,0.078377926,160,East_Chinese,CHN,East,Chinese,0.019789529,0.07825621,160,0.068674382,0.068674382
Age,Elderly,Young,Young - Elderly,0.08896281,0.07909229,160,East_Emirati,ARE,East,Emirati,0.019789529,0.07825621,160,0.069173281,0.069173281
Age,Elderly,Young,Young - Elderly,0.047576876,0.078241119,160,East_HongKonger,HKG,East,HongKonger,0.019789529,0.07825621,160,0.027787347,0.027787347
Age,Elderly,Young,Young - Elderly,-0.001835167,0.078984589,160,East_Indian,IND,East,Indian,0.019789529,0.07825621,160,-0.021624696,0.021624696
Age,Elderly,Young,Young - Elderly,0.045951891,0.079563575,160,East_Indonesian,IDN,East,Indonesian,0.019789529,0.07825621,160,0.026162362,0.026162362
Age,Elderly,Young,Young - Elderly,0.019149865,0.078771937,160,East_Japanese,JPN,East,Japanese,0.019789529,0.07825621,160,-0.000639664,0.000639664
Age,Elderly,Young,Young - Elderly,0.090798007,0.078348506,160,East_Korean,KOR,East,Korean,0.019789529,0.07825621,160,0.071008478,0.071008478
Age,Elderly,Young,Young - Elderly,0.151827735,0.078266747,160,East_Malaysian,MYS,East,Malaysian,0.019789529,0.07825621,160,0.132038206,0.132038206
Age,Elderly,Young,Young - Elderly,0.116316665,0.07830752,160,East_SaudiArabian,SAU,East,SaudiArabian,0.019789529,0.07825621,160,0.096527136,0.096527136
Age,Elderly,Young,Young - Elderly,-0.012014158,0.078093599,160,East_Taiwanese,TWN,East,Taiwanese,0.019789529,0.07825621,160,-0.031803687,0.031803687
Age,Elderly,Young,Young - Elderly,0.18694906,0.077809738,160,West_American,USA,West,American,0.019789529,0.07825621,160,0.167159531,0.167159531
Age,Elderly,Young,Young - Elderly,-0.011764533,0.07928727,160,West_Australian,AUS,West,Australian,0.019789529,0.07825621,160,-0.031554062,0.031554062
Age,Elderly,Young,Young - Elderly,0.11852585,0.078916419,160,West_Brazilian,BRA,West,Brazilian,0.019789529,0.07825621,160,0.098736321,0.098736321
Age,Elderly,Young,Young - Elderly,0.070293379,0.078550409,160,West_British,GBR,West,British,0.019789529,0.07825621,160,0.05050385,0.05050385
Age,Elderly,Young,Young - Elderly,0.070959537,0.078361439,160,West_Canadian,CAN,West,Canadian,0.019789529,0.07825621,160,0.051170008,0.051170008
Age,Elderly,Young,Young - Elderly,0.116316665,0.07830752,160,West_German,DEU,West,German,0.019789529,0.07825621,160,0.096527136,0.096527136
Age,Elderly,Young,Young - Elderly,0.148510658,0.077745307,160,West_Italian,ITA,West,Italian,0.019789529,0.07825621,160,0.128721129,0.128721129
Age,Elderly,Young,Young - Elderly,0.044326873,0.079438873,160,West_Polish,POL,West,Polish,0.019789529,0.07825621,160,0.024537344,0.024537344
Age,Elderly,Young,Young - Elderly,0.066579544,0.078638103,160,West_Russian,RUS,West,Russian,0.019789529,0.07825621,160,0.046790015,0.046790015
Age,Elderly,Young,Young - Elderly,0.062281152,0.07920505,160,West_Spanish,ESP,West,Spanish,0.019789529,0.07825621,160,0.042491623,0.042491623
Fitness,Large,Fit,Fit - Large,0.012037664,0.08612848,132,East_Chinese,CHN,East,Chinese,0.111877743,0.084033046,132,-0.09984008,0.09984008
Fitness,Large,Fit,Fit - Large,0.001406607,0.086312166,132,East_Emirati,ARE,East,Emirati,0.111877743,0.084033046,132,-0.110471136,0.110471136
Fitness,Large,Fit,Fit - Large,0.074685965,0.086129749,132,East_HongKonger,HKG,East,HongKonger,0.111877743,0.084033046,132,-0.037191778,0.037191778
Fitness,Large,Fit,Fit - Large,-0.012388888,0.085670658,132,East_Indian,IND,East,Indian,0.111877743,0.084033046,132,-0.124266631,0.124266631
Fitness,Large,Fit,Fit - Large,0.087501234,0.085803375,132,East_Indonesian,IDN,East,Indonesian,0.111877743,0.084033046,132,-0.024376509,0.024376509
Fitness,Large,Fit,Fit - Large,0.086675191,0.085726471,132,East_Japanese,JPN,East,Japanese,0.111877743,0.084033046,132,-0.025202552,0.025202552
Fitness,Large,Fit,Fit - Large,0.068855782,0.085597848,132,East_Korean,KOR,East,Korean,0.111877743,0.084033046,132,-0.043021961,0.043021961
Fitness,Large,Fit,Fit - Large,0.149930301,0.085592411,132,East_Malaysian,MYS,East,Malaysian,0.111877743,0.084033046,132,0.038052558,0.038052558
Fitness,Large,Fit,Fit - Large,-0.106413325,0.086055729,132,East_SaudiArabian,SAU,East,SaudiArabian,0.111877743,0.084033046,132,-0.218291068,0.218291068
Fitness,Large,Fit,Fit - Large,0.267940322,0.0827355,132,East_Taiwanese,TWN,East,Taiwanese,0.111877743,0.084033046,132,0.156062578,0.156062578
Fitness,Large,Fit,Fit - Large,0.166563139,0.084758477,132,West_American,USA,West,American,0.111877743,0.084033046,132,0.054685396,0.054685396
Fitness,Large,Fit,Fit - Large,-0.050461459,0.087120608,132,West_Australian,AUS,West,Australian,0.111877743,0.084033046,132,-0.162339202,0.162339202
Fitness,Large,Fit,Fit - Large,0.039965337,0.086623028,132,West_Brazilian,BRA,West,Brazilian,0.111877743,0.084033046,132,-0.071912406,0.071912406
Fitness,Large,Fit,Fit - Large,0.045994224,0.085787527,132,West_British,GBR,West,British,0.111877743,0.084033046,132,-0.065883519,0.065883519
Fitness,Large,Fit,Fit - Large,0.136347112,0.085541611,132,West_Canadian,CAN,West,Canadian,0.111877743,0.084033046,132,0.024469369,0.024469369
