PersonaGroup,UserCountry3,PersonaCluster,PersonaNationality,Age,Fitness,Gender,Intervention,Law,No. Characters,Relation to AV,Social Status,Species
East_Chinese,CHN,East,Chinese,0.088463911,0.012037664,0.076955958,0.276192507,0.706940874,0.723794806,0.493801974,0.664557062,0.79173357
East_Emirati,ARE,East,Emirati,0.08896281,0.001406607,0.244326531,0.215169992,0.789203085,0.745620129,0.42498122,0.673351992,0.825890406
East_HongKonger,HKG,East,HongKonger,0.047576876,0.074685965,0.270267219,0.255354954,0.789203085,0.675288993,0.522846384,0.689323111,0.814411241
East_Indian,IND,East,Indian,-0.001835167,-0.012388888,0.293472497,0.268510791,0.740359897,0.656017864,0.491248838,0.532291036,0.835542192
East_Indonesian,IDN,East,Indonesian,0.045951891,0.087501234,0.31679277,0.297490539,0.686375321,0.758713612,0.466020987,0.613737807,0.877208431
East_Japanese,JPN,East,Japanese,0.019149865,0.086675191,0.235515457,0.330470637,0.624678663,0.703378999,0.473577632,0.675113583,0.827995424
East_Korean,KOR,East,Korean,0.090798007,0.068855782,0.296395357,0.29989698,0.64781491,0.707285291,0.525997774,0.590630156,0.804821197
East_Malaysian,MYS,East,Malaysian,0.151827735,0.149930301,0.30938115,0.282373272,0.665809769,0.672967532,0.478013955,0.591868873,0.873276034
East_SaudiArabian,SAU,East,SaudiArabian,0.116316665,-0.106413325,0.211594356,0.212359598,0.863753213,0.693797719,0.470440581,0.624717005,0.850635729
East_Taiwanese,TWN,East,Taiwanese,-0.012014158,0.267940322,0.134922112,0.302284995,0.681233933,0.787437159,0.552510557,0.611912348,0.789665917
West_American,USA,West,American,0.18694906,0.166563139,0.248300766,0.29865563,0.681233933,0.758713612,0.472326158,0.750099491,0.791175271
West_Australian,AUS,West,Australian,-0.011764533,-0.050461459,0.263194518,0.277417224,0.727506427,0.803149169,0.363149924,0.66473959,0.932079084
West_Brazilian,BRA,West,Brazilian,0.11852585,0.039965337,0.14166362,0.290801539,0.83033419,0.658929021,0.452759816,0.58438209,0.770290662
West_British,GBR,West,British,0.070293379,0.045994224,0.26370255,0.301113136,0.748071979,0.712545899,0.474233243,0.705500512,0.837051546
West_Canadian,CAN,West,Canadian,0.070959537,0.136347112,0.300848054,0.324825827,0.57840617,0.758713612,0.493160703,0.553296975,0.886860218
West_German,DEU,West,German,0.116316665,0.100342395,0.263640769,0.304808955,0.706940874,0.799075064,0.402916709,0.769121966,0.804759454
West_Italian,ITA,West,Italian,0.148510658,0.085318469,0.219344259,0.321776675,0.66066838,0.804674367,0.474252361,0.617885196,0.858182498
West_Polish,POL,West,Polish,0.044326873,0.040974533,0.272643248,0.307512466,0.686375321,0.722127178,0.419937084,0.732465488,0.895854596
West_Russian,RUS,West,Russian,0.066579544,0.123278635,0.207590066,0.294370941,0.694087404,0.720251934,0.331602565,0.721407038,0.842739639
West_Spanish,ESP,West,Spanish,0.062281152,-0.035380785,0.139193586,0.289843888,0.76092545,0.742542986,0.360637416,0.734635512,0.749567947
