Effect,UserCountry3,PersonaGroup,PersonaCluster,PersonaNationality,HumanEstimate,HumanSE,NeutralEstimate,NeutralSE,NeutralN,BaselineDifferenceFromHuman,BaselineAbsDifferenceFromHuman,BaselineSquaredDifferenceFromHuman
Age,ARE,East_Emirati,East,Emirati,0.44720424,0.012422584,0.019789529,0.07825621,160,-0.427414711,0.427414711,0.182683335179213
Age,AUS,West_Australian,West,Australian,0.50152598,0.002772133,0.019789529,0.07825621,160,-0.481736451,0.481736451,0.232070008222075
Age,BRA,West_Brazilian,West,Brazilian,0.471815331,0.001951296,0.019789529,0.07825621,160,-0.452025802,0.452025802,0.204327325673743
Age,CAN,West_Canadian,West,Canadian,0.50660609,0.002908917,0.019789529,0.07825621,160,-0.486816561,0.486816561,0.236990364063867
Age,CHN,East_Chinese,East,Chinese,0.353739928,0.009584414,0.019789529,0.07825621,160,-0.333950399,0.333950399,0.111522868992259
Age,DEU,West_German,West,German,0.478149581,0.00180123,0.019789529,0.07825621,160,-0.458360052,0.458360052,0.210093937269443
Age,ESP,West_Spanish,West,Spanish,0.511039962,0.003011661,0.019789529,0.07825621,160,-0.491250433,0.491250433,0.241326987922688
Age,GBR,West_British,West,British,0.502950369,0.001974038,0.019789529,0.07825621,160,-0.48316084,0.48316084,0.233444397309506
Age,HKG,East_HongKonger,East,HongKonger,0.376798765,0.007611679,0.019789529,0.07825621,160,-0.357009236,0.357009236,0.127455594589304
Age,IDN,East_Indonesian,East,Indonesian,0.402001004,0.008767082,0.019789529,0.07825621,160,-0.382211475,0.382211475,0.146085611621676
Age,IND,East_Indian,East,Indian,0.410941923,0.007022271,0.019789529,0.07825621,160,-0.391152394,0.391152394,0.153000195331931
Age,ITA,West_Italian,West,Italian,0.546147923,0.002916602,0.019789529,0.07825621,160,-0.526358394,0.526358394,0.277053158934259
Age,JPN,East_Japanese,East,Japanese,0.40006409,0.003101169,0.019789529,0.07825621,160,-0.380274561,0.380274561,0.144608741743743
Age,KOR,East_Korean,East,Korean,0.378117869,0.006940137,0.019789529,0.07825621,160,-0.35832834,0.35832834,0.128399199247156
Age,MYS,East_Malaysian,East,Malaysian,0.389846978,0.009549464,0.019789529,0.07825621,160,-0.370057449,0.370057449,0.136942515560388
Age,POL,West_Polish,West,Polish,0.467292833,0.002840937,0.019789529,0.07825621,160,-0.447503304,0.447503304,0.200259207090916
Age,RUS,West_Russian,West,Russian,0.449177027,0.002413175,0.019789529,0.07825621,160,-0.429387498,0.429387498,0.1843736234387
Age,SAU,East_SaudiArabian,East,SaudiArabian,0.373165006,0.011840697,0.019789529,0.07825621,160,-0.353375477,0.353375477,0.124874227744978
Age,TWN,East_Taiwanese,East,Taiwanese,0.345241775,0.006788459,0.019789529,0.07825621,160,-0.325452246,0.325452246,0.105919164426445
Age,USA,West_American,West,American,0.490754563,0.001318415,0.019789529,0.07825621,160,-0.470965034,0.470965034,0.221808063250621
Fitness,ARE,East_Emirati,East,Emirati,0.118927539,0.012939887,0.111877743,0.084033046,132,-0.007049796,0.007049796,4.9699623641616e-05
Fitness,AUS,West_Australian,West,Australian,0.191460181,0.002905516,0.111877743,0.084033046,132,-0.079582438,0.079582438,0.00633336443802385
Fitness,BRA,West_Brazilian,West,Brazilian,0.088107013,0.002084424,0.111877743,0.084033046,132,0.02377073,0.02377073,0.0005650476047329
Fitness,CAN,West_Canadian,West,Canadian,0.190256145,0.002435636,0.111877743,0.084033046,132,-0.078378402,0.078378402,0.0061431739000736
Fitness,CHN,East_Chinese,East,Chinese,0.131550503,0.009964288,0.111877743,0.084033046,132,-0.01967276,0.01967276,0.0003870174860176
Fitness,DEU,West_German,West,German,0.14244207,0.001886138,0.111877743,0.084033046,132,-0.030564327,0.030564327,0.000934178084962929
Fitness,ESP,West_Spanish,West,Spanish,0.152242319,0.003026853,0.111877743,0.084033046,132,-0.040364576,0.040364576,0.00162929899565977
Fitness,GBR,West_British,West,British,0.196541636,0.002110709,0.111877743,0.084033046,132,-0.084663893,0.084663893,0.00716797477791545
Fitness,HKG,East_HongKonger,East,HongKonger,0.148795068,0.007915836,0.111877743,0.084033046,132,-0.036917325,0.036917325,0.00136288888515563
Fitness,IDN,East_Indonesian,East,Indonesian,0.159530681,0.009269139,0.111877743,0.084033046,132,-0.047652938,0.047652938,0.00227080250003184
Fitness,IND,East_Indian,East,Indian,0.12704069,0.007262828,0.111877743,0.084033046,132,-0.015162947,0.015162947,0.000229914961724809
Fitness,ITA,West_Italian,West,Italian,0.172611745,0.003230882,0.111877743,0.084033046,132,-0.060734002,0.060734002,0.00368861899893601
Fitness,JPN,East_Japanese,East,Japanese,0.12445473,0.003166826,0.111877743,0.084033046,132,-0.012576987,0.012576987,0.000158180601998169
Fitness,KOR,East_Korean,East,Korean,0.106006478,0.006962088,0.111877743,0.084033046,132,0.005871265,0.005871265,3.4471752700225e-05
Fitness,MYS,East_Malaysian,East,Malaysian,0.146604761,0.010493838,0.111877743,0.084033046,132,-0.034727018,0.034727018,0.00120596577917232
Fitness,POL,West_Polish,West,Polish,0.152242478,0.003072617,0.111877743,0.084033046,132,-0.040364735,0.040364735,0.00162931183162022
Fitness,RUS,West_Russian,West,Russian,0.156272962,0.002515582,0.111877743,0.084033046,132,-0.044395219,0.044395219,0.00197093547005796
Fitness,SAU,East_SaudiArabian,East,SaudiArabian,0.08229366,0.012740378,0.111877743,0.084033046,132,0.029584083,0.029584083,0.000875217966950889
Fitness,TWN,East_Taiwanese,East,Taiwanese,0.130986749,0.006983797,0.111877743,0.084033046,132,-0.019109006,0.019109006,0.000365154110308036
Fitness,USA,West_American,West,American,0.176191071,0.001020982,0.111877743,0.084033046,132,-0.064313328,0.064313328,0.00413620415843558
Gender,ARE,East_Emirati,East,Emirati,0.117194536,0.012843878,0.142263303,0.069227278,198,0.025068767,0.025068767,0.000628443078900289
Gender,AUS,West_Australian,West,Australian,0.110603367,0.002791139,0.142263303,0.069227278,198,0.031659936,0.031659936,0.0010023515475241
Gender,BRA,West_Brazilian,West,Brazilian,0.146003101,0.002015738,0.142263303,0.069227278,198,-0.00373979799999999,0.00373979799999999,1.39860890808039e-05
Gender,CAN,West_Canadian,West,Canadian,0.113371309,0.002418591,0.142263303,0.069227278,198,0.028891994,0.028891994,0.000834747317296036
