PersonaGroup,UserCountry3,PersonaCluster,PersonaNationality,PersonaEuclideanDistanceToHuman,PersonaRMSEToHuman,PersonaMeanAbsoluteDifferenceToHuman,ComparedEffectsPersona,BaselineEuclideanDistanceToHuman,BaselineRMSEToHuman,BaselineMeanAbsoluteDifferenceToHuman,ComparedEffectsBaseline,EuclideanDistanceImprovement,RMSEImprovement,MeanAbsoluteDifferenceImprovement,H2SupportedByEuclidean,H2SupportedByRMSE
East_Malaysian,MYS,East,Malaysian,0.763678387378933,0.254559462459644,0.236245884222222,9,0.899759614052844,0.299919871350948,0.262912377666667,9,0.136081226673911,0.0453604088913037,0.0266664934444445,TRUE,TRUE
East_Korean,KOR,East,Korean,0.764235151272237,0.254745050424079,0.232896594555556,9,0.870265369290579,0.290088456430193,0.245911786111111,9,0.106030218018342,0.0353434060061141,0.0130151915555556,TRUE,TRUE
East_Chinese,CHN,East,Chinese,0.840142331102944,0.280047443700981,0.244076816111111,9,0.937608374811454,0.312536124937151,0.258657749222222,9,0.0974660437085097,0.0324886812361699,0.0145809331111111,TRUE,TRUE
East_Emirati,ARE,East,Emirati,0.838599818922928,0.279533272974309,0.259895651666667,9,0.918396939537631,0.30613231317921,0.258829888555556,9,0.0797971206147033,0.0265990402049012,-0.00106576311111112,TRUE,TRUE
East_Indian,IND,East,Indian,0.860141784406239,0.286713928135413,0.267124656222222,9,0.934363048260567,0.311454349420189,0.265670756222222,9,0.0742212638543277,0.0247404212847758,-0.00145390000000006,TRUE,TRUE
East_Japanese,JPN,East,Japanese,0.789862880064418,0.263287626688139,0.242788281888889,9,0.844283741932187,0.281427913977396,0.248752363111111,9,0.05442086186777,0.0181402872892567,0.00596408122222222,TRUE,TRUE
East_Indonesian,IDN,East,Indonesian,0.85148354532632,0.283827848442107,0.270262280333333,9,0.905610014030669,0.30187000467689,0.263117361222222,9,0.0541264687043493,0.0180421562347831,-0.00714491911111109,TRUE,TRUE
East_SaudiArabian,SAU,East,SaudiArabian,0.843483709629349,0.281161236543116,0.264466812444445,9,0.876086193159714,0.292028731053238,0.260061854111111,9,0.0326024835303649,0.0108674945101216,-0.00440495833333338,TRUE,TRUE
East_HongKonger,HKG,East,HongKonger,0.875558766038646,0.291852922012882,0.270711868777778,9,0.901041839405604,0.300347279801868,0.262284082555556,9,0.0254830733669581,0.00849435778898605,-0.00842778622222229,TRUE,TRUE
East_Taiwanese,TWN,East,Taiwanese,0.924180486884342,0.308060162294781,0.281115869888889,9,0.949629004165404,0.316543001388468,0.274519655111111,9,0.025448517281062,0.00848283909368736,-0.00659621477777783,TRUE,TRUE
West_Brazilian,BRA,West,Brazilian,0.961811077175123,0.320603692391708,0.275797913555556,9,1.11815085454544,0.372716951515145,0.308492848333333,9,0.156339777370313,0.0521132591234377,0.0326949347777777,TRUE,TRUE
West_Russian,RUS,West,Russian,0.822707944405852,0.274235981468617,0.254554066333333,9,0.948930053349146,0.316310017783049,0.276375251,9,0.126222108943294,0.0420740363144312,0.0218211846666667,TRUE,TRUE
West_Italian,ITA,West,Italian,0.819308468012986,0.273102822670995,0.252871969,9,0.94116830028087,0.31372276676029,0.263497242444444,9,0.121859832267885,0.0406199440892948,0.0106252734444444,TRUE,TRUE
West_American,USA,West,American,0.825569709257311,0.27518990308577,0.248375582666667,9,0.945911646683207,0.315303882227736,0.267441072444444,9,0.120341937425896,0.0401139791419653,0.0190654897777778,TRUE,TRUE
West_Canadian,CAN,West,Canadian,0.815200502208826,0.271733500736275,0.250211970555556,9,0.933654303626115,0.311218101208705,0.264631655,9,0.118453801417289,0.0394846004724297,0.0144196844444445,TRUE,TRUE
West_Spanish,ESP,West,Spanish,0.870757862078634,0.290252620692878,0.259266697222222,9,0.949361165521668,0.316453721840556,0.266837325222222,9,0.078603303443034,0.026201101147678,0.00757062799999997,TRUE,TRUE
West_Polish,POL,West,Polish,0.919347545807654,0.306449181935885,0.289442953555556,9,0.975748876343145,0.325249625447715,0.274661630777778,9,0.0564013305354915,0.0188004435118305,-0.0147813227777778,TRUE,TRUE
West_German,DEU,West,German,0.86285382057216,0.28761794019072,0.260480473666667,9,0.913902803636427,0.304634267878809,0.258700178,9,0.0510489830642671,0.017016327688089,-0.00178029566666665,TRUE,TRUE
West_British,GBR,West,British,0.893393757186051,0.297797919062017,0.278951479777778,9,0.932246885599937,0.310748961866646,0.267023791777778,9,0.0388531284138862,0.0129510428046287,-0.011927688,TRUE,TRUE
West_Australian,AUS,West,Australian,0.946231800023818,0.315410600007939,0.298083061222222,9,0.935997898225316,0.311999299408439,0.267540854777778,9,-0.0102339017985019,-0.00341130059950062,-0.0305422064444444,FALSE,FALSE
