PersonaCluster,Effect,HumanClusterEstimate,Countries,EffectRows
East,Intervention,0.058523316,10,10
East,Relation to AV,0.108937625,10,10
East,Law,0.377242736,10,10
East,Gender,0.096359408,10,10
East,Fitness,0.127619086,10,10
East,Social Status,0.324514749,10,10
East,Age,0.387712158,10,10
East,No. Characters,0.444027006,10,10
East,Species,0.590753457,10,10
West,Intervention,0.06140026,10,10
West,Relation to AV,0.076869677,10,10
West,Law,0.356563587,10,10
West,Gender,0.105174625,10,10
West,Fitness,0.161836762,10,10
West,Social Status,0.341596544,10,10
West,Age,0.492545966,10,10
West,No. Characters,0.504774526,10,10
West,Species,0.588406019,10,10
