Effect,ReferenceLevel,ComparedLevel,Contrast,Estimate,SE,N,PersonaGroup,UserCountry3,PersonaCluster,PersonaNationality
Intervention,Omission,Commission,Commission - Omission,0.276192506923001,0.0310563677965489,950,East_Chinese,CHN,East,Chinese
Relation to AV,Passengers,Pedestrians,Pedestrians - Passengers,0.493801973840911,0.0460643139585283,357,East_Chinese,CHN,East,Chinese
Law,Illegal,Legal,Legal - Illegal,0.706940874035989,0.0454652078684072,244,East_Chinese,CHN,East,Chinese
Gender,Male,Female,Female - Male,0.0769559582901099,0.070309796866711,198,East_Chinese,CHN,East,Chinese
Fitness,Large,Fit,Fit - Large,0.0120376635032673,0.086128480406677,132,East_Chinese,CHN,East,Chinese
Social Status,Low,High,High - Low,0.664557062387642,0.0609736968688549,148,East_Chinese,CHN,East,Chinese
Age,Elderly,Young,Young - Elderly,0.0884639110163165,0.0783779256659462,160,East_Chinese,CHN,East,Chinese
No. Characters,Less,More,More - Less,0.723794806254032,0.056599650096361,146,East_Chinese,CHN,East,Chinese
Species,Pets,Humans,Humans - Pets,0.791733569798606,0.0477112045536485,166,East_Chinese,CHN,East,Chinese
Intervention,Omission,Commission,Commission - Omission,0.21516999235455,0.0316889002783965,950,East_Emirati,ARE,East,Emirati
Relation to AV,Passengers,Pedestrians,Pedestrians - Passengers,0.424981219913028,0.0478327997934021,357,East_Emirati,ARE,East,Emirati
Law,Illegal,Legal,Legal - Illegal,0.789203084832903,0.0394779199135848,244,East_Emirati,ARE,East,Emirati
Gender,Male,Female,Female - Male,0.244326531213574,0.0689994318798511,198,East_Emirati,ARE,East,Emirati
Fitness,Large,Fit,Fit - Large,0.00140660698929105,0.0863121663381306,132,East_Emirati,ARE,East,Emirati
Social Status,Low,High,High - Low,0.673351991769775,0.0605665093348006,148,East_Emirati,ARE,East,Emirati
Age,Elderly,Young,Young - Elderly,0.0889628099711884,0.0790922898865139,160,East_Emirati,ARE,East,Emirati
No. Characters,Less,More,More - Less,0.745620128599243,0.0548285580402453,146,East_Emirati,ARE,East,Emirati
Species,Pets,Humans,Humans - Pets,0.825890405515674,0.044040712645851,166,East_Emirati,ARE,East,Emirati
Intervention,Omission,Commission,Commission - Omission,0.255354954037088,0.031156065483747,950,East_HongKonger,HKG,East,HongKonger
Relation to AV,Passengers,Pedestrians,Pedestrians - Passengers,0.522846384066519,0.0451948063050181,357,East_HongKonger,HKG,East,HongKonger
Law,Illegal,Legal,Legal - Illegal,0.789203084832904,0.0394779199135848,244,East_HongKonger,HKG,East,HongKonger
Gender,Male,Female,Female - Male,0.270267219185521,0.0672572108637869,198,East_HongKonger,HKG,East,HongKonger
Fitness,Large,Fit,Fit - Large,0.0746859654794201,0.0861297492942846,132,East_HongKonger,HKG,East,HongKonger
Social Status,Low,High,High - Low,0.689323110500174,0.0582812834644425,148,East_HongKonger,HKG,East,HongKonger
Age,Elderly,Young,Young - Elderly,0.0475768756038554,0.0782411187406172,160,East_HongKonger,HKG,East,HongKonger
No. Characters,Less,More,More - Less,0.675288993379303,0.0601331737695647,146,East_HongKonger,HKG,East,HongKonger
Species,Pets,Humans,Humans - Pets,0.814411240877398,0.0452817545080111,166,East_HongKonger,HKG,East,HongKonger
Intervention,Omission,Commission,Commission - Omission,0.268510790610925,0.0311759044163381,950,East_Indian,IND,East,Indian
Relation to AV,Passengers,Pedestrians,Pedestrians - Passengers,0.491248837944777,0.0460063965281121,357,East_Indian,IND,East,Indian
Law,Illegal,Legal,Legal - Illegal,0.740359897172234,0.0432113402747872,244,East_Indian,IND,East,Indian
Gender,Male,Female,Female - Male,0.293472496980308,0.0677272815009534,198,East_Indian,IND,East,Indian
Fitness,Large,Fit,Fit - Large,-0.0123888877883888,0.0856706582299051,132,East_Indian,IND,East,Indian
Social Status,Low,High,High - Low,0.532291035704243,0.0691060339333037,148,East_Indian,IND,East,Indian
Age,Elderly,Young,Young - Elderly,-0.001835167298565,0.0789845890523323,160,East_Indian,IND,East,Indian
No. Characters,Less,More,More - Less,0.656017863709923,0.0622545141663318,146,East_Indian,IND,East,Indian
Species,Pets,Humans,Humans - Pets,0.835542192394459,0.042870098011263,166,East_Indian,IND,East,Indian
Intervention,Omission,Commission,Commission - Omission,0.297490539320511,0.0309229435809959,950,East_Indonesian,IDN,East,Indonesian
Relation to AV,Passengers,Pedestrians,Pedestrians - Passengers,0.466020987494016,0.0468262877517496,357,East_Indonesian,IDN,East,Indonesian
Law,Illegal,Legal,Legal - Illegal,0.686375321336761,0.0467492395421359,244,East_Indonesian,IDN,East,Indonesian
Gender,Male,Female,Female - Male,0.316792770158149,0.0665722448879702,198,East_Indonesian,IDN,East,Indonesian
Fitness,Large,Fit,Fit - Large,0.0875012341263165,0.0858033754555681,132,East_Indonesian,IDN,East,Indonesian
Social Status,Low,High,High - Low,0.613737806692324,0.0637841671181482,148,East_Indonesian,IDN,East,Indonesian
Age,Elderly,Young,Young - Elderly,0.0459518914476279,0.0795635751958064,160,East_Indonesian,IDN,East,Indonesian
No. Characters,Less,More,More - Less,0.758713611968357,0.0539502634259018,146,East_Indonesian,IDN,East,Indonesian
Species,Pets,Humans,Humans - Pets,0.87720843062853,0.0375054604069405,166,East_Indonesian,IDN,East,Indonesian
Intervention,Omission,Commission,Commission - Omission,0.330470636859774,0.0305901375438147,950,East_Japanese,JPN,East,Japanese
Relation to AV,Passengers,Pedestrians,Pedestrians - Passengers,0.473577632458363,0.0465273482624364,357,East_Japanese,JPN,East,Japanese
Law,Illegal,Legal,Legal - Illegal,0.624678663239073,0.0501969907766631,244,East_Japanese,JPN,East,Japanese
Gender,Male,Female,Female - Male,0.235515456565515,0.0692547707900568,198,East_Japanese,JPN,East,Japanese
Fitness,Large,Fit,Fit - Large,0.0866751910740752,0.0857264711147331,132,East_Japanese,JPN,East,Japanese
Social Status,Low,High,High - Low,0.675113582610505,0.0607543093107336,148,East_Japanese,JPN,East,Japanese
Age,Elderly,Young,Young - Elderly,0.0191498654856629,0.0787719371750004,160,East_Japanese,JPN,East,Japanese
No. Characters,Less,More,More - Less,0.703378998574943,0.0579915909322164,146,East_Japanese,JPN,East,Japanese
Species,Pets,Humans,Humans - Pets,0.827995423995508,0.0437538125786202,166,East_Japanese,JPN,East,Japanese
Intervention,Omission,Commission,Commission - Omission,0.299896980043545,0.0307482907403118,950,East_Korean,KOR,East,Korean
Relation to AV,Passengers,Pedestrians,Pedestrians - Passengers,0.525997774270921,0.0450786046982948,357,East_Korean,KOR,East,Korean
Law,Illegal,Legal,Legal - Illegal,0.647814910025706,0.0489702153678657,244,East_Korean,KOR,East,Korean
Gender,Male,Female,Female - Male,0.296395357070581,0.0669558904422745,198,East_Korean,KOR,East,Korean
Fitness,Large,Fit,Fit - Large,0.0688557818409167,0.0855978483540131,132,East_Korean,KOR,East,Korean
Social Status,Low,High,High - Low,0.590630156452619,0.0651334902901304,148,East_Korean,KOR,East,Korean
Age,Elderly,Young,Young - Elderly,0.0907980069874288,0.0783485064427355,160,East_Korean,KOR,East,Korean
No. Characters,Less,More,More - Less,0.707285290538016,0.0577821122881118,146,East_Korean,KOR,East,Korean
Species,Pets,Humans,Humans - Pets,0.804821197490174,0.046343248233437,166,East_Korean,KOR,East,Korean
Intervention,Omission,Commission,Commission - Omission,0.282373272423706,0.0310320769116636,950,East_Malaysian,MYS,East,Malaysian
Relation to AV,Passengers,Pedestrians,Pedestrians - Passengers,0.478013955018604,0.0464913932284462,357,East_Malaysian,MYS,East,Malaysian
Law,Illegal,Legal,Legal - Illegal,0.665809768637531,0.0479625091184493,244,East_Malaysian,MYS,East,Malaysian
Gender,Male,Female,Female - Male,0.309381149872303,0.0669623210350709,198,East_Malaysian,MYS,East,Malaysian
