Effect,DiffNumberOFCharacters,ReferenceLevel,ComparedLevel,Contrast,Estimate,SE,N,PersonaGroup,UserCountry3,PersonaCluster,PersonaNationality
No. Characters,1,Less,More,More - Less,0.584566613229429,0.0915545268279618,74,East_Chinese,CHN,East,Chinese
No. Characters,2,Less,More,More - Less,0.823663334746212,0.0919923782590523,40,East_Chinese,CHN,East,Chinese
No. Characters,3,Less,More,More - Less,0.834147521830463,0.117589020789299,24,East_Chinese,CHN,East,Chinese
No. Characters,4,Less,More,More - Less,1,7.7081155593189e-17,8,East_Chinese,CHN,East,Chinese
No. Characters,1,Less,More,More - Less,0.668622843571666,0.0848095031138062,74,East_Emirati,ARE,East,Emirati
No. Characters,2,Less,More,More - Less,0.757087295331587,0.105585105914533,40,East_Emirati,ARE,East,Emirati
No. Characters,3,Less,More,More - Less,0.834147521830463,0.117589020789299,24,East_Emirati,ARE,East,Emirati
No. Characters,4,Less,More,More - Less,1,1.09009215643279e-16,8,East_Emirati,ARE,East,Emirati
No. Characters,1,Less,More,More - Less,0.561441675817431,0.0932354226341237,74,East_HongKonger,HKG,East,HongKonger
No. Characters,2,Less,More,More - Less,0.823663334746212,0.0919923782590523,40,East_HongKonger,HKG,East,HongKonger
No. Characters,3,Less,More,More - Less,0.621525215737868,0.1707540968098,24,East_HongKonger,HKG,East,HongKonger
No. Characters,4,Less,More,More - Less,1,0,8,East_HongKonger,HKG,East,HongKonger
No. Characters,1,Less,More,More - Less,0.498873508406758,0.0992104188957615,74,East_Indian,IND,East,Indian
No. Characters,2,Less,More,More - Less,0.735495002119318,0.109909903516412,40,East_Indian,IND,East,Indian
No. Characters,3,Less,More,More - Less,0.834147521830463,0.117589020789299,24,East_Indian,IND,East,Indian
No. Characters,4,Less,More,More - Less,1,1.11257064827938e-17,8,East_Indian,IND,East,Indian
No. Characters,1,Less,More,More - Less,0.659252863747016,0.0871226845310449,74,East_Indonesian,IDN,East,Indonesian
No. Characters,2,Less,More,More - Less,0.823663334746212,0.0919923782590523,40,East_Indonesian,IDN,East,Indonesian
No. Characters,3,Less,More,More - Less,0.834147521830463,0.117589020789299,24,East_Indonesian,IDN,East,Indonesian
No. Characters,4,Less,More,More - Less,1,2.22514129655876e-17,8,East_Indonesian,IDN,East,Indonesian
No. Characters,1,Less,More,More - Less,0.541194405293238,0.0934595542612943,74,East_Japanese,JPN,East,Japanese
No. Characters,2,Less,More,More - Less,0.823663334746212,0.0919923782590523,40,East_Japanese,JPN,East,Japanese
No. Characters,3,Less,More,More - Less,0.834147521830463,0.117589020789299,24,East_Japanese,JPN,East,Japanese
No. Characters,4,Less,More,More - Less,1,2.22514129655875e-17,8,East_Japanese,JPN,East,Japanese
No. Characters,1,Less,More,More - Less,0.499775176052104,0.0971616546875466,74,East_Korean,KOR,East,Korean
No. Characters,2,Less,More,More - Less,0.911831667373106,0.0666023174829093,40,East_Korean,KOR,East,Korean
No. Characters,3,Less,More,More - Less,0.834147521830464,0.117589020789299,24,East_Korean,KOR,East,Korean
No. Characters,4,Less,More,More - Less,1,2.22514129655875e-17,8,East_Korean,KOR,East,Korean
No. Characters,1,Less,More,More - Less,0.561441675817431,0.0932354226341237,74,East_Malaysian,MYS,East,Malaysian
No. Characters,2,Less,More,More - Less,0.682594002543181,0.118551058031204,40,East_Malaysian,MYS,East,Malaysian
No. Characters,3,Less,More,More - Less,0.834147521830463,0.117589020789299,24,East_Malaysian,MYS,East,Malaysian
No. Characters,4,Less,More,More - Less,1,2.22514129655875e-17,8,East_Malaysian,MYS,East,Malaysian
