ResponseID,ExtendedSessionID,UserID,ScenarioOrder,Intervention,PedPed,Barrier,CrossingSignal,AttributeLevel,ScenarioTypeStrict,ScenarioType,DefaultChoice,NonDefaultChoice,DefaultChoiceIsOmission,NumberOfCharacters,DiffNumberOFCharacters,Saved,Template,DescriptionShown,LeftHand,UserCountry3,PersonaGroup,PersonaCluster,PersonaNationality,Man,Woman,Pregnant,Stroller,OldMan,OldWoman,Boy,Girl,Homeless,LargeWoman,LargeMan,Criminal,MaleExecutive,FemaleExecutive,FemaleAthlete,MaleAthlete,FemaleDoctor,MaleDoctor,Dog,Cat
res_00000000_1,chatbot_extended,chatbot,0,0,0,1,0,Hoomans,Species,Species,,,,3,0,0,desktop,1,1,,Neutral,Neutral,Neutral,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
res_00000000_2,chatbot_extended,chatbot,0,1,0,0,0,Pets,Species,Species,,,,3,0,1,desktop,1,0,,Neutral,Neutral,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
res_00000001_1,chatbot_extended,chatbot,0,0,0,1,0,Male,Gender,Gender,,,,2,0,1,desktop,1,1,,Neutral,Neutral,Neutral,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
res_00000001_2,chatbot_extended,chatbot,0,1,0,0,2,Female,Gender,Gender,,,,2,0,0,desktop,1,0,,Neutral,Neutral,Neutral,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
res_00000002_1,chatbot_extended,chatbot,0,1,1,0,2,Young,Age,Age,,,,1,0,0,desktop,1,1,,Neutral,Neutral,Neutral,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
res_00000002_2,chatbot_extended,chatbot,0,0,1,0,1,Old,Age,Age,,,,1,0,1,desktop,1,0,,Neutral,Neutral,Neutral,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
res_00000003_1,chatbot_extended,chatbot,0,1,0,1,0,Pets,Species,Species,,,,1,0,1,desktop,1,1,,Neutral,Neutral,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
res_00000003_2,chatbot_extended,chatbot,0,0,0,0,1,Hoomans,Species,Species,,,,1,0,0,desktop,1,0,,Neutral,Neutral,Neutral,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
res_00000004_1,chatbot_extended,chatbot,0,0,1,0,0,Hoomans,Species,Species,,,,2,0,0,desktop,1,1,,Neutral,Neutral,Neutral,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
res_00000004_2,chatbot_extended,chatbot,0,1,1,0,0,Pets,Species,Species,,,,2,0,1,desktop,1,0,,Neutral,Neutral,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
res_00000005_1,chatbot_extended,chatbot,0,0,0,1,0,Fat,Fitness,Fitness,,,,5,0,0,desktop,1,1,,Neutral,Neutral,Neutral,1,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
res_00000005_2,chatbot_extended,chatbot,0,1,0,0,0,Fit,Fitness,Fitness,,,,5,0,1,desktop,1,0,,Neutral,Neutral,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0
res_00000006_1,chatbot_extended,chatbot,0,0,0,1,0,Old,Age,Age,,,,1,0,1,desktop,1,1,,Neutral,Neutral,Neutral,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
res_00000006_2,chatbot_extended,chatbot,0,1,0,0,1,Young,Age,Age,,,,1,0,0,desktop,1,0,,Neutral,Neutral,Neutral,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
res_00000007_1,chatbot_extended,chatbot,0,0,0,1,0,Fat,Fitness,Fitness,,,,4,0,0,desktop,1,1,,Neutral,Neutral,Neutral,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
res_00000007_2,chatbot_extended,chatbot,0,1,0,0,0,Fit,Fitness,Fitness,,,,4,0,1,desktop,1,0,,Neutral,Neutral,Neutral,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
